Reading No,Time,Type,Duration,Units,Sequence,Flags,SAMPLE,OBJNAME,X,Y,area,element,Al2O3,Al2O3 Error,FeO,FeO Error,MgO,MgO Error,Cr2O3,Cr2O3 Error,Mg,Mg Error,Al,Al Error,Bal,Bal Error,Si,Si Error,P,P Error,S,S Error,Cl,Cl Error,K,K Error,Ca,Ca Error,Ti,Ti Error,V,V Error,Cr,Cr Error,Mn,Mn Error,Fe,Fe Error,Co,Co Error,Ni,Ni Error,Cu,Cu Error,Zn,Zn Error,As,As Error,Se,Se Error,Rb,Rb Error,Sr,Sr Error,Zr,Zr Error,Nb,Nb Error,Mo,Mo Error,Pd,Pd Error,Ag,Ag Error,Cd,Cd Error,Sn,Sn Error,Sb,Sb Error,Ba,Ba Error,W,W Error,Au,Au Error,Pb,Pb Error,Bi,Bi Error
65,6/1/2007 0:05,Mining,123.55,%,Final,,SA01,SA01,371373.9148,7217621.961,A,undetermined,0.275,0,3.542,0,0,0,0.013,0,< LOD,0.225,0.145,0.036,91.111,0.05,3.16,0.058,0.738,0.02,0.086,0.008,0.061,0.003,0.948,0.023,0.534,0.028,0.285,0.007,0.007,0.003,0.009,0.003,0.097,0.009,2.753,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.025,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
66,6/1/2007 0:15,Mining,122.17,%,Final,,SA02,SA02,371375.9615,7217621.898,A,undetermined,0.261,0,3.094,0,0,0,0.009,0,< LOD,0.224,0.138,0.035,91.26,0.049,3.663,0.06,0.79,0.02,0.087,0.008,0.064,0.003,0.795,0.021,0.397,0.023,0.256,0.006,0.008,0.003,0.006,0.002,0.072,0.008,2.405,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.002,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.029,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
67,6/1/2007 0:27,Mining,122.39,%,Final,,SA03,SA03,371377.8841,7217621.887,A,undetermined,0.265,0,3.322,0,0,0,0.013,0,< LOD,0.203,0.14,0.036,90.987,0.05,3.609,0.061,0.82,0.021,0.086,0.008,0.059,0.003,0.877,0.023,0.428,0.026,0.265,0.006,0.008,0.003,0.009,0.003,0.072,0.008,2.582,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
68,6/1/2007 0:05,Mining,124.41,%,Final,,SA04,SA04,371379.8614,7217621.82,A,undetermined,0.259,0,3.032,0,0,0,0.012,0,< LOD,0.219,0.137,0.035,90.82,0.049,4.102,0.063,0.829,0.021,0.096,0.008,0.068,0.003,0.783,0.02,0.393,0.023,0.27,0.006,0.008,0.003,0.008,0.002,0.066,0.007,2.357,0.024,< LOD,0.009,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.031,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.004,< LOD,0.002,< LOD,0.002,< LOD,0.002
69,6/1/2007 0:16,Mining,121.77,%,Final,,SA05,SA05,371381.8211,7217621.832,A,undetermined,0.302,0,3.313,0,0,0,0.014,0,< LOD,0.242,0.16,0.038,90.724,0.052,3.65,0.063,0.789,0.021,0.09,0.009,0.066,0.004,0.85,0.022,0.69,0.03,0.263,0.006,0.007,0.003,0.009,0.002,0.068,0.008,2.575,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.028,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
70,6/1/2007 0:25,Mining,121.78,%,Final,,SA06,SA06,371383.8055,7217621.985,A,midden_1,0.242,0,3.223,0,0,0,0.015,0,< LOD,0.257,0.128,0.039,90.327,0.053,3.351,0.061,0.828,0.022,0.092,0.009,0.066,0.004,0.793,0.022,1.464,0.041,0.275,0.007,0.008,0.003,0.01,0.002,0.086,0.009,2.505,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.03,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
71,6/1/2007 0:04,Mining,123.72,%,Final,,SA07,SA07,371383.8646,7217619.965,A,midden_1,0.204,0,3.25,0,0,0,0.015,0,< LOD,0.283,0.108,0.046,87.263,0.069,2.957,0.062,0.723,0.023,0.077,0.009,0.059,0.004,0.798,0.022,4.995,0.073,0.243,0.007,0.01,0.003,0.011,0.003,0.158,0.01,2.526,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.006,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.006,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.029,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
72,6/1/2007 0:14,Mining,122.7,%,Final,,SA08,SA08,371381.9405,7217619.838,A,undetermined,0.336,0,3.444,0,0,0,0.015,0,< LOD,0.229,0.178,0.038,90.833,0.051,3.272,0.059,0.828,0.021,0.098,0.009,0.062,0.003,0.82,0.022,0.822,0.032,0.262,0.006,0.009,0.003,0.01,0.002,0.072,0.008,2.677,0.028,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.005,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
73,6/1/2007 0:24,Mining,123.98,%,Final,,SA09,SA09,371379.9111,7217619.847,A,undetermined,0.244,0,3.155,0,0,0,0.011,0,< LOD,0.228,0.129,0.035,90.752,0.052,3.947,0.062,0.829,0.021,0.077,0.008,0.062,0.003,0.82,0.021,0.503,0.026,0.277,0.006,0.008,0.003,0.007,0.002,0.076,0.008,2.452,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
74,6/1/2007 0:36,Mining,123.12,%,Final,,SA010,SA010,371377.9449,7217619.865,A,undetermined,0.388,0,3.474,0,0,0,0.02,0,< LOD,0.228,0.205,0.038,90.4,0.053,3.854,0.063,0.797,0.021,0.083,0.008,0.062,0.003,1.01,0.024,0.419,0.026,0.326,0.007,0.008,0.003,0.014,0.002,0.053,0.008,2.701,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,< LOD,0.002,0.034,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
