SAMPLE,Al2O3,FeO,MgO,Cr2O3,Bal,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Zn,Rb,Sr,Zr,Ba
SJ01,0.313,2.433,0,0.008,91.589,0.166,4.194,0.821,0.09,0.064,0.574,0.252,0.263,0.008,0.006,0.019,1.891,0.002,0.002,LOD,0.038,0.019
SJ02,0.443,3.597,0,0.012,91.036,0.235,3.607,0.731,0.081,0.056,0.754,0.31,0.291,0.01,0.009,0.034,2.796,0.003,0.003,LOD,0.026,0.016
SJ03,0.447,2.844,0,0.009,91.252,0.237,4.061,0.744,0.082,0.061,0.666,0.314,0.282,0.009,0.006,0.026,2.211,0.002,0.002,LOD,0.022,0.02
SJ04,0.452,2.77,0,0.009,91.29,0.239,4.083,0.783,0.084,0.059,0.67,0.278,0.276,0.01,0.006,0.014,2.153,0.002,0.002,LOD,0.031,0.017
SK01,0.346,4.079,0,0.017,89.351,0.183,4.024,0.797,0.082,0.061,1.304,0.433,0.394,0.014,0.011,0.088,3.171,0.005,0.006,0.002,0.036,0.032
SK02,0.487,4.271,0,0.017,89.286,0.258,3.846,0.783,0.086,0.059,1.304,0.42,0.427,0.014,0.012,0.097,3.32,0.006,0.006,0.002,0.037,0.032
SK03,0.4,4.068,0,0.015,89.467,0.212,3.869,0.838,0.092,0.06,1.283,0.414,0.396,0.012,0.01,0.096,3.162,0.006,0.006,0.002,0.037,0.033
SK04,0.416,4.375,0,0.021,89.288,0.22,3.768,0.817,0.089,0.065,1.263,0.484,0.391,0.012,0.014,0.095,3.4,0.005,0.006,0.002,0.038,0.035
SL01,0.345,3.454,0,0.011,90.821,0.183,3.929,0.734,0.099,0.059,0.371,0.535,0.248,0.007,0.008,0.275,2.685,0.002,0.002,LOD,0.022,0.017
SL02,0.339,3.477,0.439,0.013,90.572,0.179,4.047,0.712,0.085,0.058,0.41,0.413,0.268,0.008,0.009,0.22,2.703,0.002,0.002,LOD,0.03,0.017
SL03,0.418,4.462,0,0.012,89.691,0.221,4.366,0.768,0.095,0.064,0.357,0.381,0.269,0.009,0.008,0.237,3.469,0.002,0.002,LOD,0.028,0.019
SL04,0.535,3.468,0,0.013,90.046,0.283,4.642,0.746,0.095,0.06,0.395,0.463,0.259,0.007,0.009,0.242,2.696,0.003,0.002,LOD,0.031,0.02
SM01,0.334,3.882,0,0.011,90.611,0.177,3.567,0.631,0.081,0.065,0.468,0.542,0.234,0.006,0.008,0.537,3.017,0.003,0.002,LOD,0.029,0.02
