ID,X,Y,area,element,Al2O3,FeO,MgO,Cr2O3,Bal,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Zn,Rb,Sr,Zr,Ba
SA01,371373.9148,7217621.961,A,undetermined,0.275,3.542,0,0.013,91.111,0.145,3.16,0.738,0.086,0.061,0.948,0.534,0.285,0.007,0.009,0.097,2.753,0.003,0.003,0.002,0.028,0.025
SA010,371377.9449,7217619.865,A,undetermined,0.388,3.474,0,0.02,90.4,0.205,3.854,0.797,0.083,0.062,1.01,0.419,0.326,0.008,0.014,0.053,2.701,0.003,0.003,LOD,0.034,0.023
SA011,371375.9292,7217619.895,A,undetermined,0.212,2.995,0,0.01,91.306,0.112,3.772,0.826,0.087,0.055,0.714,0.366,0.291,0.007,0.007,0.068,2.328,0.003,0.002,LOD,0.031,0.021
SA012,371374.0216,7217619.908,A,undetermined,0.387,3.086,0,0.009,91.011,0.205,3.853,0.799,0.082,0.058,0.796,0.386,0.254,0.008,0.006,0.089,2.399,0.003,0.002,LOD,0.023,0.02
SA013,371383.7392,7217623.87,A,undetermined,0.217,3.11,0,0.01,91.226,0.115,3.533,0.806,0.093,0.058,0.805,0.546,0.255,0.007,0.007,0.077,2.417,0.005,0.002,0.002,0.027,0.018
SA014,371381.6955,7217623.997,A,undetermined,0.346,3.508,0,0.01,90.893,0.183,3.31,0.759,0.091,0.058,0.835,0.69,0.27,0.008,0.007,0.094,2.727,0.004,0.002,0.002,0.035,0.029
SA015,371379.9378,7217624.054,A,undetermined,0.19,3.575,0,0.014,91.09,0.1,3.368,0.775,0.084,0.068,0.871,0.463,0.248,0.01,0.01,0.074,2.779,0.003,0.003,0.002,0.028,0.023
SA016,371377.711,7217623.99,A,undetermined,0.245,3.474,0,0.01,91.012,0.13,3.634,0.684,0.074,0.061,0.876,0.385,0.284,0.008,0.007,0.082,2.7,0.003,0.003,0.002,0.031,0.024
SA017,371375.7341,7217623.977,A,undetermined,0.297,3.297,0,0.01,90.878,0.157,3.7,0.81,0.09,0.06,0.882,0.408,0.289,0.007,0.007,0.094,2.562,0.003,0.003,0.002,0.027,0.021
SA018,371373.8649,7217623.911,A,undetermined,0.238,3.748,0,0.011,90.454,0.126,3.56,0.812,0.095,0.06,0.896,0.644,0.26,0.009,0.008,0.101,2.914,0.003,0.002,0.002,0.027,0.021
SA019,371373.8816,7217625.995,A,undetermined,0.263,3.327,0,0.011,90.827,0.139,3.547,0.805,0.091,0.059,0.921,0.589,0.267,0.01,0.008,0.09,2.586,0.003,0.003,0.002,0.026,0.025
SA02,371375.9615,7217621.898,A,undetermined,0.261,3.094,0,0.009,91.26,0.138,3.663,0.79,0.087,0.064,0.795,0.397,0.256,0.008,0.006,0.072,2.405,0.002,0.002,LOD,0.029,0.021
SA020,371375.7959,7217625.992,A,undetermined,0.25,3.234,0,0.012,91.253,0.132,3.501,0.715,0.08,0.065,0.851,0.442,0.287,0.008,0.008,0.086,2.514,0.002,0.002,LOD,0.026,0.023
SA021,371377.8094,7217625.918,A,undetermined,0.332,2.994,0,0.011,91.156,0.176,3.716,0.8,0.095,0.061,0.795,0.46,0.275,0.008,0.007,0.068,2.327,0.002,0.002,0.002,0.027,0.018
SA022,371379.8175,7217625.933,A,undetermined,0.388,3.257,0,0.011,90.762,0.205,3.696,0.817,0.093,0.059,0.862,0.56,0.262,0.008,0.008,0.082,2.532,0.003,0.002,0.002,0.026,0.019
SA023,371381.7961,7217625.957,A,undetermined,0.469,3.36,0,0.013,90.592,0.248,3.745,0.793,0.095,0.057,0.914,0.515,0.278,0.009,0.009,0.074,2.612,0.003,0.003,0.002,0.027,0.021
SA024,371383.7532,7217625.993,A,undetermined,0.288,3.245,0,0.012,90.986,0.152,3.654,0.725,0.069,0.06,0.86,0.539,0.28,0.006,0.008,0.083,2.523,0.004,0.002,LOD,0.025,0.02
SA025,371383.7483,7217627.904,A,undetermined,0.552,3.102,0,0.009,89.992,0.292,4.506,0.806,0.087,0.063,0.953,0.445,0.274,0.009,0.006,0.097,2.411,0.003,0.002,LOD,0.024,0.023
SA026,371381.9683,7217627.973,A,undetermined,0.295,3.139,0,0.011,91.417,0.156,3.34,0.736,0.08,0.06,0.887,0.486,0.252,0.007,0.007,0.075,2.44,0.003,0.002,0.002,0.027,0.019
SA027,371379.9711,7217627.905,A,undetermined,0.293,3.193,0,0.016,91.207,0.155,3.448,0.738,0.074,0.054,0.964,0.433,0.295,0.009,0.011,0.071,2.482,0.003,0.003,LOD,0.026,0.024
SA028,371377.756,7217628.014,A,undetermined,0.254,3.386,0,0.014,91.226,0.134,3.343,0.742,0.077,0.056,0.955,0.408,0.274,0.008,0.01,0.077,2.632,0.002,0.003,0.002,0.027,0.023
SA029,371375.9642,7217628.045,A,undetermined,0.268,3.148,0.345,0.009,90.975,0.142,3.676,0.74,0.076,0.059,0.858,0.414,0.263,0.007,0.006,0.071,2.447,0.002,0.002,LOD,0.029,0.021
SA03,371377.8841,7217621.887,A,undetermined,0.265,3.322,0,0.013,90.987,0.14,3.609,0.82,0.086,0.059,0.877,0.428,0.265,0.008,0.009,0.072,2.582,0.003,0.002,LOD,0.026,0.023
SA030,371373.9622,7217627.986,A,undetermined,0.289,3.158,0,0.012,91.228,0.153,3.696,0.739,0.079,0.055,0.815,0.371,0.258,0.008,0.008,0.078,2.455,0.002,0.002,LOD,0.027,0.02
SA031,371374.0512,7217629.837,A,undetermined,0.296,3.281,0,0.012,91.047,0.157,3.62,0.742,0.09,0.056,0.841,0.47,0.268,0.008,0.008,0.079,2.55,0.003,0.002,LOD,0.028,0.026
SA032,371375.8352,7217629.966,A,undetermined,0.236,3.319,0,0.013,90.863,0.125,3.754,0.767,0.087,0.059,0.874,0.434,0.3,0.008,0.009,0.069,2.58,0.002,0.002,LOD,0.041,0.021
SA033,371377.8879,7217629.953,A,undetermined,0.249,3.275,0.318,0.012,90.706,0.132,3.657,0.75,0.087,0.056,0.888,0.524,0.291,0.008,0.008,0.091,2.546,0.003,0.002,0.002,0.031,0.024
SA034,371379.7587,7217629.924,A,undetermined,0.269,3.167,0,0.013,91.105,0.142,3.501,0.755,0.082,0.058,0.925,0.549,0.269,0.008,0.009,0.077,2.461,0.002,0.002,LOD,0.026,0.025
SA035,371381.8205,7217630.044,A,undetermined,0.184,3.187,0,0.012,91.131,0.097,3.515,0.789,0.089,0.057,0.92,0.491,0.275,0.01,0.009,0.073,2.477,0.002,0.002,LOD,0.034,0.023
