Grass_LC_inflo	Grass_LC_leafculm	Grass_LC_undet	Grass_bulliform	Grass_SC_panicoid	Grass_SC_chloridoid	Grass_SC_pooid	Grass_SC_undet	Cyperaceae	Arecaceae	Dicot	Undetermined	Unidentified	ID
0.88	1.28	0.57	0.60	1.32	0.79	0.47	1.37	0.11	0.00	0.26	1.26	0.50	LTS_GS1a
0.51	0.94	0.16	0.71	1.19	1.29	0.28	1.29	0.00	0.00	0.28	1.44	0.81	LTS_GS1b
0.61	1.11	0.67	0.54	1.31	1.24	0.35	1.42	0.00	0.00	0.40	1.18	0.28	LTS_GS2a
0.53	1.35	0.58	1.34	1.07	1.00	0.00	1.18	0.00	0.00	0.00	1.23	0.55	LTS_GS3a
0.28	1.11	0.66	1.61	0.96	0.72	0.00	1.22	0.00	0.00	0.00	1.18	0.52	LTS_GS3b
0.81	1.30	0.75	0.20	1.31	0.97	0.72	1.39	0.11	0.00	0.48	1.10	0.27	LTS_GS4
0.59	1.06	0.76	0.51	1.06	0.98	0.36	1.22	0.12	0.00	0.92	1.54	0.55	LTS_GS5
0.67	1.22	0.78	0.33	1.12	1.00	0.47	1.22	0.27	0.00	0.72	1.29	1.12	LTS_GS7b
0.36	0.91	0.91	0.77	1.12	0.69	0.47	1.30	0.00	0.00	1.09	1.48	0.51	LTS_GS8
0.00	1.12	0.61	0.77	0.46	0.67	0.12	0.91	0.00	0.00	0.94	1.74	0.84	LTS_GS11
0.93	1.30	0.19	0.63	1.29	1.11	0.38	1.41	0.11	0.00	0.47	1.04	0.38	LTS_Control1
0.84	1.23	0.50	0.10	1.38	1.07	0.63	1.46	0.32	0.00	0.26	0.97	0.19	LTS_Control2
0.95	1.14	0.59	0.41	1.43	1.01	0.56	1.49	0.10	0.00	0.00	0.88	0.10	LTS_Control3
0.80	1.14	0.63	0.63	1.07	1.21	0.63	1.40	0.11	0.00	0.73	1.24	0.39	LTS_Control4
1.12	1.71	0.36	0.24	0.56	0.74	0.33	1.02	0.00	0.00	0.49	1.12	0.60	LTS_Control5
0.39	1.15	0.65	0.33	0.77	0.77	0.33	1.07	0.00	0.11	0.48	1.48	1.46	VHV_GS1
0.25	1.17	0.36	0.69	0.74	0.62	0.25	0.81	0.00	0.00	0.36	1.68	1.27	VHV_GS2
0.43	1.16	0.47	0.99	0.74	0.89	0.19	0.89	0.11	0.19	0.00	1.62	1.17	VHV_GS3
0.00	1.28	0.41	0.67	1.04	0.86	0.00	0.75	0.00	0.00	0.18	1.61	1.23	VHV_GS4
0.72	1.44	0.45	0.72	0.72	0.54	0.35	0.72	0.00	0.21	0.00	1.61	1.06	VHV_Control1
