Grass_LC_inflo	Grass_LC_leafculm	Grass_LC_undet	Grass_bulliform	Grass_SC_panicoid	Grass_SC_chloridoid	Grass_SC_pooid	Grass_SC_undet	Cyperaceae	Arecaceae	Dicot	Undetermined	Unidentified	Type1a	Type1b	Type1c	Type2	Type3	Type4	Type5	Type7	Type8	Unidentified	ID
0.79	0.87	0.51	0.63	1.52	1.04	0.29	1.46	0.00	0.00	0.00	1.09	0.12	0.00	1.68	1.22	1.41	0.62	0.86	0.00	0.62	0.00	0.00	SKP_Hand1
0.73	0.90	0.57	0.30	1.55	1.07	0.13	1.39	0.00	0.00	0.13	1.22	0.00	0.00	1.59	0.95	1.59	0.85	0.00	0.70	0.70	0.00	0.48	SKP_Hand2
0.33	1.00	0.55	1.19	0.74	0.51	0.00	0.69	0.00	0.26	0.33	1.74	0.85	0.00	1.08	0.00	1.75	1.08	1.08	0.00	0.00	0.00	1.08	SKP_Hand3
0.88	0.84	0.12	0.72	1.42	1.06	0.37	1.51	0.30	0.00	0.12	1.12	0.22	0.90	1.51	1.12	1.41	0.44	0.00	0.99	1.12	0.00	0.44	SKP_Hand5
0.72	0.72	0.12	0.42	1.38	1.17	0.48	1.54	0.00	0.00	0.30	1.21	0.22	1.60	1.31	0.00	1.52	0.00	0.00	0.00	0.87	0.00	0.63	SKP_Hand6
0.84	0.70	0.60	0.52	1.50	1.09	0.48	1.50	0.00	0.00	0.00	1.04	0.12	0.71	0.71	0.71	1.80	1.13	0.00	0.71	0.00	0.71	0.71	SKP_Hand7
0.43	0.64	0.22	0.48	1.58	1.05	0.22	1.50	0.12	0.00	0.00	1.16	0.00	0.00	1.18	0.00	1.64	0.00	1.18	1.18	1.18	0.00	0.00	SKP_Quern1
0.86	0.99	0.34	0.57	1.50	1.23	0.20	1.40	0.28	0.00	0.11	0.96	0.00	1.96	0.00	0.00	0.71	0.31	0.00	0.31	0.48	0.00	0.31	SKP_Quern3
0.92	0.83	0.48	0.48	1.56	1.20	0.37	1.41	0.00	0.00	0.22	0.85	0.00	0.00	1.13	0.00	1.93	0.00	0.00	0.71	0.00	0.00	0.00	SKP_Quern4
0.83	0.63	0.74	0.22	1.42	1.07	0.81	1.56	0.12	0.00	0.00	0.94	0.29	1.78	1.43	0.59	0.92	0.39	0.39	0.00	0.00	0.00	0.39	SKP_Quern5
0.64	0.48	0.30	0.43	1.37	1.33	0.60	1.53	0.00	0.00	0.22	1.13	0.00	0.80	0.00	0.00	1.77	0.00	0.00	1.44	0.00	0.00	1.06	SKP_Quern6
0.81	0.47	0.36	0.55	1.45	1.21	0.55	1.54	0.00	0.00	0.00	1.03	0.12	0.00	1.40	0.61	1.54	1.45	0.61	0.85	0.00	0.00	0.61	SKP_Quern7a
0.75	0.56	0.00	0.59	1.42	1.06	0.56	1.63	0.00	0.00	0.00	1.05	0.00	0.00	1.41	0.00	1.54	1.25	0.00	0.97	0.00	0.00	1.25	SKP_Quern7b
0.52	0.47	0.00	0.52	1.43	1.15	0.72	1.57	0.00	0.00	0.22	1.16	0.00	1.54	1.00	0.00	1.59	0.00	0.00	0.51	0.51	0.00	1.22	SKP_Quern8
0.52	0.77	0.12	0.63	1.46	1.09	0.42	1.56	0.00	0.00	0.22	1.13	0.00	0.00	0.95	0.00	1.86	0.00	0.00	1.32	0.00	0.00	0.00	SKP_Quern9a
0.85	0.63	0.22	0.69	1.29	1.15	0.69	1.55	0.00	0.00	0.00	1.24	0.00	1.55	0.65	0.00	1.66	0.90	1.05	0.00	0.00	0.00	0.00	SKP_Quern9b
0.80	1.00	0.22	0.52	1.47	1.12	0.52	1.42	0.00	0.00	0.00	1.19	0.13	0.00	1.25	0.00	1.63	0.97	1.54	0.00	0.00	0.00	0.00	SKP_Mortar
0.99	0.77	0.11	0.34	1.58	1.06	0.87	1.38	0.00	0.00	0.11	0.92	0.11	1.07	1.60	1.07	1.55	0.50	0.50	0.00	0.00	0.00	0.00	SKP_Pestle
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
