Grass_LC_inflo	Grass_LC_leafculm	Grass_LC_undet	Grass_bulliform	Grass_SC_panicoid	Grass_SC_chloridoid	Grass_SC_pooid	Grass_SC_undet	Cyperaceae	Arecaceae	Dicot	Undetermined	Unidentified	Site	ID
0.51	0.94	0.16	0.71	1.19	1.29	0.28	1.29	0.00	0.00	0.28	1.44	0.81	LTS	LTS_GS1b
0.61	1.11	0.67	0.54	1.31	1.24	0.35	1.42	0.00	0.00	0.40	1.18	0.28	LTS	LTS_GS2a
0.53	1.35	0.58	1.34	1.07	1.00	0.00	1.18	0.00	0.00	0.00	1.23	0.55	LTS	LTS_GS3a
0.28	1.11	0.66	1.61	0.96	0.72	0.00	1.22	0.00	0.00	0.00	1.18	0.52	LTS	LTS_GS3b
0.81	1.30	0.75	0.20	1.31	0.97	0.72	1.39	0.11	0.00	0.48	1.10	0.27	LTS	LTS_GS4
0.59	1.06	0.76	0.51	1.06	0.98	0.36	1.22	0.12	0.00	0.92	1.54	0.55	LTS	LTS_GS5
0.36	0.91	0.91	0.77	1.12	0.69	0.47	1.30	0.00	0.00	1.09	1.48	0.51	LTS	LTS_GS8
0.00	1.12	0.61	0.77	0.46	0.67	0.12	0.91	0.00	0.00	0.94	1.74	0.84	LTS	LTS_GS11
0.39	1.15	0.65	0.33	0.77	0.77	0.33	1.07	0.00	0.11	0.43	1.48	1.46	VHV	VHV_GS1
0.25	1.17	0.36	0.69	0.74	0.62	0.25	0.81	0.00	0.00	0.31	1.69	1.27	VHV	VHV_GS2
0.00	1.28	0.41	0.67	1.04	0.86	0.00	0.75	0.00	0.00	0.18	1.61	1.23	VHV	VHV_GS4
0.79	0.87	0.51	0.63	1.52	1.04	0.29	1.46	0.00	0.00	0.00	1.09	0.12	SKP	SKP_Hand1
0.73	0.90	0.57	0.30	1.55	1.07	0.13	1.39	0.00	0.00	0.13	1.22	0.00	SKP	SKP_Hand2
0.33	1.00	0.55	1.19	0.74	0.51	0.00	0.69	0.00	0.26	0.33	1.74	0.85	SKP	SKP_Hand3
0.88	0.84	0.12	0.72	1.42	1.06	0.37	1.51	0.30	0.00	0.12	1.12	0.22	SKP	SKP_Hand5
0.72	0.72	0.12	0.42	1.38	1.17	0.48	1.54	0.00	0.00	0.30	1.21	0.22	SKP	SKP_Hand6
0.84	0.70	0.60	0.52	1.50	1.09	0.48	1.50	0.00	0.00	0.00	1.04	0.12	SKP	SKP_Hand7
0.43	0.64	0.22	0.48	1.58	1.05	0.22	1.50	0.12	0.00	0.00	1.16	0.00	SKP	SKP_Quern1
0.86	0.99	0.34	0.57	1.50	1.23	0.20	1.40	0.28	0.00	0.11	0.96	0.00	SKP	SKP_Quern3
0.92	0.83	0.48	0.48	1.56	1.20	0.37	1.41	0.00	0.00	0.22	0.85	0.00	SKP	SKP_Quern4
0.83	0.63	0.74	0.22	1.42	1.07	0.81	1.56	0.12	0.00	0.00	0.94	0.29	SKP	SKP_Quern5
0.64	0.48	0.30	0.43	1.37	1.33	0.60	1.53	0.00	0.00	0.22	1.13	0.00	SKP	SKP_Quern6
0.81	0.47	0.36	0.55	1.45	1.21	0.55	1.54	0.00	0.00	0.00	1.03	0.12	SKP	SKP_Quern7a
0.75	0.56	0.00	0.59	1.42	1.06	0.56	1.63	0.00	0.00	0.00	1.05	0.00	SKP	SKP_Quern7b
0.52	0.47	0.00	0.52	1.43	1.15	0.72	1.57	0.00	0.00	0.22	1.16	0.00	SKP	SKP_Quern8
0.52	0.77	0.12	0.63	1.46	1.09	0.42	1.56	0.00	0.00	0.22	1.13	0.00	SKP	SKP_Quern9a
0.85	0.63	0.22	0.69	1.29	1.15	0.69	1.55	0.00	0.00	0.00	1.24	0.00	SKP	SKP_Quern9b
0.80	1.00	0.22	0.52	1.47	1.12	0.52	1.42	0.00	0.00	0.00	1.19	0.13	SKP	SKP_Mortar
0.99	0.77	0.11	0.34	1.58	1.06	0.87	1.38	0.00	0.00	0.11	0.92	0.11	SKP	SKP_Pestle
