Type1a	Type1b	Type1c	Type2	Type3	Type4	Type5	Type7	Type8	Type9	Type14	Unidentified	Site	ID
1.54	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS1
0.00	1.08	0.82	0.82	0.00	0.82	0.00	0.00	0.00	0.00	0.00	1.86	DTR	DTR_GS2
1.41	1.41	0.00	0.00	0.00	1.41	1.41	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS3
0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS4a
0.00	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	1.54	1.54	DTR	DTR_GS4b
0.00	0.00	1.54	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS5
1.18	1.90	0.00	0.66	0.00	0.00	0.44	0.00	0.00	0.44	0.00	0.00	DTR	DTR_GS6a
0.00	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	DTR	DTR_GS6b
0.00	0.30	0.48	0.60	0.70	0.78	0.85	0.90	0.95	1.00	1.04	1.08	DTR	DTR_GS7
0.00	1.41	1.71	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS8
1.32	1.32	0.00	1.32	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS9
0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS10
0.00	0.00	0.00	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	1.71	DTR	DTR_GS11a
0.00	1.61	1.32	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS11b
0.00	0.94	0.00	1.21	0.00	0.94	0.00	0.00	0.94	0.00	0.00	1.80	DTR	DTR_GS12a
1.08	1.08	1.08	1.08	1.08	0.00	0.00	0.00	0.00	0.00	0.00	1.66	DTR	DTR_GS12b
1.08	1.66	0.00	1.37	1.08	0.00	0.00	0.00	0.00	0.00	0.00	1.08	DTR	DTR_GS13
2.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS14
0.00	0.00	0.00	1.71	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS15
0.00	0.00	1.71	0.00	0.00	1.71	0.00	0.00	0.00	0.00	0.00	0.00	DTR	DTR_GS16
1.63	0.87	0.00	1.31	0.63	0.63	0.00	0.63	0.00	0.00	0.00	1.37	DTR	DTR_GS17
1.49	0.67	1.20	1.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.43	LTS	LTS_GS1a
1.57	0.58	0.58	0.58	0.58	0.00	0.00	0.58	0.00	0.00	0.00	1.71	LTS	LTS_GS1b
0.00	1.16	0.88	1.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	LTS	LTS_GS2a
0.00	1.57	1.00	1.67	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	LTS	LTS_GS2b
0.00	1.41	1.13	1.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	LTS	LTS_GS3a
0.00	1.45	0.00	1.67	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.28	LTS	LTS_GS3b
0.76	1.30	0.00	1.18	1.47	0.76	0.00	0.00	0.00	0.00	0.00	1.47	LTS	LTS_GS4
0.00	1.47	0.00	1.71	0.00	0.00	0.00	0.91	0.00	0.00	0.00	1.18	LTS	LTS_GS5
0.00	1.23	1.06	1.44	1.06	1.06	0.00	0.80	0.00	0.80	0.00	1.23	LTS	LTS_GS6a
1.25	1.54	1.25	1.25	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.97	LTS	LTS_GS6b
0.00	1.47	0.00	1.64	1.18	0.00	0.00	1.18	0.00	0.00	0.00	0.00	LTS	LTS_GS7a
0.00	1.11	1.11	1.78	0.00	0.00	0.00	0.84	0.00	0.00	0.00	1.11	LTS	LTS_GS7b
0.00	1.54	0.00	1.75	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	LTS	LTS_GS8
1.86	0.46	0.00	1.08	0.00	0.92	0.46	0.00	0.00	0.00	0.00	0.82	LTS	LTS_GS9
1.80	1.35	0.29	1.09	0.29	0.00	0.46	0.00	0.00	0.00	0.00	0.29	LTS	LTS_GS10
1.36	1.26	0.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.36	LTS	LTS_GS11
1.94	0.27	0.16	1.06	0.27	0.00	0.16	0.16	0.00	0.00	0.00	0.16	LTS	LTS_GS12a
1.54	1.20	0.92	1.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	LTS	LTS_GS12b
0.88	1.61	0.00	1.44	0.00	1.16	0.00	0.00	0.00	0.00	0.00	1.16	LTS	LTS_GS13
0.00	1.68	1.22	1.41	0.62	0.86	0.00	0.62	0.00	0.00	0.00	0.00	SKP	SKP_Hand1
0.00	1.59	0.95	1.59	0.85	0.00	0.70	0.70	0.00	0.00	0.00	0.48	SKP	SKP_Hand2
0.00	1.08	0.00	1.75	1.08	1.08	0.00	0.00	0.00	0.00	0.00	1.08	SKP	SKP_Hand3
0.00	1.60	0.99	1.15	0.73	0.99	1.26	0.99	0.00	0.00	0.00	0.00	SKP	SKP_Hand4
0.90	1.51	1.12	1.41	0.44	0.00	0.99	1.12	0.00	0.00	0.00	0.44	SKP	SKP_Hand5
1.60	1.31	0.00	1.52	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.63	SKP	SKP_Hand6
0.71	0.71	0.71	1.80	1.13	0.00	0.71	0.00	0.71	0.00	0.00	0.71	SKP	SKP_Hand7
0.00	1.18	0.00	1.64	0.00	1.18	1.18	1.18	0.00	0.00	0.00	0.00	SKP	SKP_Quern1
0.00	1.32	1.32	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	1.61	SKP	SKP_Quern2
1.96	0.00	0.00	0.71	0.31	0.00	0.31	0.48	0.00	0.00	0.00	0.31	SKP	SKP_Quern3
0.00	1.13	0.00	1.93	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	SKP	SKP_Quern4
1.78	1.43	0.59	0.92	0.39	0.39	0.00	0.00	0.00	0.00	0.00	0.39	SKP	SKP_Quern5
0.80	0.00	0.00	1.77	0.00	0.00	1.44	0.00	0.00	0.00	0.00	1.06	SKP	SKP_Quern6
0.00	1.40	0.61	1.54	1.45	0.61	0.85	0.00	0.00	0.00	0.00	0.61	SKP	SKP_Quern7a
0.00	1.41	0.00	1.54	1.25	0.00	0.97	0.00	0.00	0.00	0.00	1.25	SKP	SKP_Quern7b
1.54	1.00	0.00	1.59	0.00	0.00	0.51	0.51	0.00	0.00	0.00	1.22	SKP	SKP_Quern8
0.00	0.95	0.00	1.86	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	SKP	SKP_Quern9a
1.55	0.65	0.00	1.66	0.90	1.05	0.00	0.00	0.00	0.00	0.00	0.00	SKP	SKP_Quern9b
0.00	1.25	0.00	1.63	0.97	1.54	0.00	0.00	0.00	0.00	0.00	0.00	SKP	SKP_Mortar
1.07	1.60	1.07	1.55	0.50	0.50	0.00	0.00	0.00	0.00	0.00	0.00	SKP	SKP_Pestle
