,,,l,p,h,Vol. mm3,Vol cm3,Weight g,Density g/cm3,average,TLS,RLS,area,TS,Vol mm3,Vol cm3,Weight g,Density charc,,Δ volume,Δ weight,fr >2 mm,fr >1 mm,fr <1 mm
ACA,1,1A,18.2,12.6,18.5,4242.4,4.2424,3.0039,0.7081,0.7238,17.3,12,,18,3736.8,3.7368,2.6659,0.7134,0.707,88.08,88.7479609840541,,,
,,1Ax,,,,,,,,,17.3,12,,8.9,1847.64,1.8476,1.3466,0.7288,,,,100,0,0
,,1Ay,,,,,,,,,17.3,12,207.6,8.6,1785.36,1.7854,1.2119,0.6788,,,,100,0,0
ACA,1,2A,10,10,29.5,2950,2.95,2.1815,0.7395,,8.5,8.5,,29,2095.25,2.0953,1.9453,0.9284,0.9402,71.03,89.172587669035,,,
,,2AX,,,,,,,,,8.5,8.5,72.3,15.4,1112.65,1.1127,1.054,0.9473,,,,100,0,0
,,2Ay,,,,,,,,,8.5,8.5,,12.3,888.675,0.8887,0.8398,0.945,,,,100,0,0
ACA,2,1A,23.5,19.5,18.5,8477.6,8.4776,2.3339,0.2753,0.5535,23,16.3,,17,6373.3,6.3733,1.9323,0.3032,0.301,75.18,82.7927503320622,,,
,,1Ax,,,,,,,,,11.9,16.3,194,17,3297.49,3.2975,0.9286,0.2816,,,,100,0,0
,,1Ay,,,,,,,,,10.8,16.3,277.1,17,2992.68,2.9927,0.952,0.3181,,,,98.04,9.8,9.8
ACA,2,2A,10.5,11.2,24,2822.4,2.8224,2.3476,0.8318,,9.9,10.9,,24,2589.84,2.5898,1.8874,0.7288,0.728,91.76,80.3970011927074,,,
,,2AX,,,,,,,,,9.9,10.9,107.9,12,1294.92,1.2949,0.9504,0.7339,,,,100,0,0
,,2Ay,,,,,,,,,9.9,10.9,122.1,11.2,1208.592,1.2086,0.8719,0.7214,,,,97.56,1.22,1.22
ACA,3,1A,15.5,11.2,28.5,4947.6,4.9476,2.0156,0.4074,0.4249,15,10.1,,28,4242,4.242,1.7012,0.401,0.4045,85.74,84.4016669974201,,,
,,1Ax,,,,,,,,,15,10.1,151.5,14,2121,2.121,0.8544,0.4028,,,,100,0,0
,,1Ay,,,,,,,,,15,10.1,195,13,1969.5,1.9695,0.8065,0.4095,,,,92.86,3.57,3.57
ACA,3,2A,14.2,11.5,25.5,4164.2,4.1642,1.8419,0.4423,,13.5,11.9,,25,4016.25,4.0163,1.5414,0.3838,0.386,96.45,83.6853249362072,,,
,,2AX,,,,,,,,,13.5,11.9,160.7,13.2,2120.58,2.1206,0.8264,0.3897,,,,100,0,0
,,2Ay,,,,,,,,,13.5,11.9,147.2,10.9,1751.085,1.7511,0.6733,0.3845,,,,97.09,1.94,0.97
ACA,4,1A,17.5,7.3,13,1660.8,1.6608,1.3731,0.8268,0.7982,16.5,7.9,,12.1,1577.235,1.5772,1.1633,0.7376,0.782,94.97,84.7207049741461,,,
,,1Ax,,,,,,,,,7.5,7.9,59.3,12.1,716.925,0.7169,0.6052,0.8442,,,,100,0,0
,,1Ay,,,,,,,,,7.1,7.9,95.6,12.1,678.689,0.6787,0.5187,0.7643,,,,100,0,0
ACA,4,2A,17.7,16.6,22,6464,6.464,4.9745,0.7696,,17,15.9,,21.3,5757.39,5.7574,3.9654,0.6887,0.6864,89.07,79.714544175294,,,
,,2AX,,,,,,,,,17,15.9,270.3,11.1,3000.33,3.0003,2.0853,0.695,,,,100,0,0
,,2Ay,,,,,,,,,17,15.9,161.5,9.5,2567.85,2.5679,1.7346,0.6755,,,,100,0,0
ACA,5,1A,24.4,14.3,12.4,4326.6,4.3266,3.4849,0.8055,0.8065,22.5,13.5,,12,3645,3.645,2.8912,0.7932,0.7952,84.25,82.9636431461448,,,
,,1Ax,,,,,,,,,11,13.5,148.5,12,1782,1.782,1.4436,0.8101,,,,100,0,0
,,1Ay,,,,,,,,,10.8,13.5,162,12,1749.6,1.7496,1.3688,0.7824,,,,100,0,0
ACA,5,2A,33.3,18,15.1,9050.9,9.0509,7.3085,0.8075,,31.2,18,,14.9,8367.84,8.3678,6.1894,0.7397,0.742,92.45,84.6876924129438,,,
,,2AX,,,,,,,,,16,18,288,14.9,4291.2,4.2912,3.2611,0.76,,,,100,0,0
,,2Ay,,,,,,,,,14.5,18,268.2,14.9,3888.9,3.8889,2.8247,0.7263,,,,100,0,0
ACA,NI,1A,17.3,23.6,17.7,7226.6,7.2266,5.4479,0.7539,0.7526,16.4,23,,17.5,6601,6.601,4.6302,0.7014,0.7113,91.34,84.9905468162044,,,
,,1Ax,,,,,,,,,16.4,11,180.4,17.5,3157,3.157,2.3329,0.739,,,,100,0,0
,,1Ay,,,,,,,,,16.4,10.9,287,17.5,3128.3,3.1283,2.1699,0.6936,,,,98.16,1.23,0.61
ACA,NI,2A,23.7,15.7,20.8,7739.5,7.7395,5.8144,0.7513,,23.1,15,,20.5,7103.25,7.1033,5.3454,0.7525,0.7587,91.78,91.9338194826637,,,
,,2AX,,,,,,,,,11.2,15,168,20.5,3444,3.444,2.7465,0.7975,,,,100,0,0
,,2Ay,,,,,,,,,11,15,307.5,20.5,3382.5,3.3825,2.4556,0.726,,,,100,0,0
AZA,IN,1A,22.2,25.9,14.8,8509.7,8.5097,6.2764,0.7376,0.7344,21.1,24.9,,14.1,7407.999,7.408,5.6404,0.7614,0.7661,87.05,89.866802625709,,,
,,1Ax,,,,,,,,,21.1,11.9,251.1,14.1,3540.369,3.5404,2.8124,0.7944,,,,100,0,0
