,ID,Section,Temperature,Density,Fail,Max Stress (MPA),Force (N),Extension (mm),yield point,Force (N),Extension (mm)
1,Aca 1,TS,200,0.716,2,68.2352,4930,1.65,,,
2,Aca 1,TS,200,0.716,2,24.7832,5145,1.5,,,
3,Aca 1,RLS,200,0.716,1,11.8984,1832,0.952,11.0670909917516,1704,0.802
4,Aca 1,RLS,200,0.716,2,6.4964,679.2,0.866,6.06791009086561,634.4,0.972
5,Aca 1,TS,300,0.716,2,9.7551,1924,1.904,7.23013740303199,1426,0.902
6,Aca 1,TS,300,0.716,2,18.3781,3676,1.842,15.5784421557844,3116,1.412
7,Aca 1,RLS,300,0.716,1,3.1373,507,1.732,0.965346534653465,156,0.146
8,Aca 1,RLS,300,0.716,1,4.3632,639,1.612,1.52611812905429,223.5,0.502
9,Aca 2,TS,200,0.769,1,3.0081,583.5,1.096,3.0081,583.5,1.096
10,Aca 2,TS,200,0.769,2,38.3653,4140,1.956,23.7234732647577,2560,1.224
11,Aca 2,RLS,200,0.769,1,4.953,1372.5,1.312,4.953,1372.5,1.312
12,Aca 2,RLS,200,0.769,1,7.88,962,0.882,7.24115334207077,884,0.542
13,Aca 2,TS,300,0.769,1,27.7805,3392,1.524,27.7805,3392,1.524
14,Aca 2,TS,300,0.769,2,7.7503,2844,1.546,3.49911432075215,1284,0.722
15,Aca 2,RLS,300,0.769,1,4.9725,579.8,0.902,4.69554030874786,547.5,0.562
16,Aca 2,RLS,300,0.769,1,6.4497,1368,1.79,1.53465346534653,325.5,0.502
17,Aca 2,TS,400,0.769,1,1.2124,202,1.792,0.897959183673469,149.6,0.492
18,Aca 2,TS,400,0.769,1,1.6068,376,1.072,1.53333333333333,358.8,0.622
19,Aca 2,RLS,400,0.769,2,0.1758,38,1.972,0.148113862531821,32,1.062
20,Aca 2,RLS,400,0.769,2,0.5466,149.55,1.99,0.055921052631579,15.3,0.162
21,Aca 3,TS,200,0.435,2,33.0231,5003,2.07,,,
22,Aca 3,TS,200,0.435,2,31.2356,5018,2.08,,,
23,Aca 3,RLS,200,0.435,1,2.182,425.5,2.156,0.753846153846154,147,0.396
24,Aca 3,RLS,200,0.435,2,4.2405,642,3.768,3.17567108392796,467.3,0.652
25,Aca 3,TS,300,0.435,1,12.32,1686,1.464,12.3200584581659,1686,1.464
26,Aca 3,TS,300,0.435,1,11.2839,1396.5,1.182,11.2839,1396.5,1.182
27,Aca 3,RLS,300,0.435,1,1.1087,133.05,0.732,1.1087,133.05,0.732
28,Aca 3,RLS,300,0.435,2,1.813,284.8,2.372,1.76979882862236,278,1.492
29,Aca 3,TS,400,0.435,2,1.4544,232.3,1.364,1.4544,232.3,1.364
30,Aca 3,TS,400,0.435,2,0.6171,94,2.252,0.6171,94,2.252
31,Aca 3,RLS,400,0.435,1,2.4087,276.4,1.396,2.4087,276.4,1.396
32,Aca 3,RLS,400,0.435,2,0.2553,41.85,4.09,0.2553,41.85,4.09
33,Aca 4,TS,200,0.815,1,73.0801,4330,1.646,73.0801,4330,1.646
34,Aca 4,TS,200,0.815,2,19.0344,5145,1.98,19.0344,5145,1.98
35,Aca 4,RLS,200,0.815,1,12.7241,1216.3,1.632,12.7241,1216.3,1.632
36,Aca 4,RLS,200,0.815,1,7.6006,1227.5,0.902,6.54798761609907,1057.5,0.682
37,Aca 4,TS,300,0.815,2,17.7642,4235,2,17.7642,4235,2
38,Aca 4,TS,300,0.815,1,6.0377,1296,0.752,6.22408572094107,1336,0.842
39,Aca 4,RLS,300,0.815,1,9.7595,1031.3,1.426,7.84182098765432,1016.3,1.082
40,Aca 4,RLS,300,0.815,2,4.9475,708,1.402,1.17400419287212,168,0.442
41,Aca 4,TS,400,0.815,1,3.1271,895,1.332,0.59748427672956,171,0.332
42,Aca 4,RLS,400,0.815,1,0.7765,140.55,1.99,0.711878453038674,128.85,0.552
43,Aca 5,TS,200,0.813,2,34.6464,5145,1.56,34.6464,5145,1.56
44,Aca 5,TS,200,0.813,2,17.8645,5145,1.4895,17.8645,5145,1.4895
45,Aca 5,RLS,200,0.813,2,8.5833,1390.5,1.924,6.36111111111111,1030.5,0.982
46,Aca 5,RLS,200,0.813,2,9.9776,2676,2,9.9776,2676,2
47,Aca 5,TS,300,0.813,1,12.464,1992,1.012,1.63934426229508,262,0.332
48,Aca 5,TS,300,0.813,1,16.706,3460,1.362,16.706,3460,1.362
49,Aca 5,RLS,300,0.813,1,3.3308,540,0.892,1.67220990391722,271.5,0.522
50,Aca 5,RLS,300,0.813,2,2.8257,559.5,1.602,0.572222222222222,113.3,0.332
51,Aca 5,TS,400,0.813,2,1.8073,454,2,0.9375,235.5,1.182
52,Aca 5,TS,400,0.813,1,3.1415,546,0.792,1.65707710011507,288,0.562
53,Aca 5,RLS,400,0.813,1,0.4747,95,2,0.04247876061969,8.5,0.102
54,Aca 5,RLS,400,0.813,2,0.2782,42.35,1.99,0.045000656943897,6.85,0.052
55,Aca ni,TS,200,0.728,2,28.3536,5115,1.47,28.3536,5115,1.47
56,Aca ni,TS,200,0.728,2,29.3154,4925,1.489,29.3154,4925,1.489
57,Aca ni,RLS,200,0.728,1,10.1463,2912,2.28,1.25435540069686,360,0.805
58,Aca ni,RLS,200,0.728,2,11.2682,3465,2.764,10,3075,1.972
59,Aca ni,TS,300,0.728,1,9.7225,2628,1.415,9.7225,2628,1.415
60,Aca ni,TS,300,0.728,1,20.3671,3972,1.685,20.3671,3972,1.685
61,Aca ni,RLS,300,0.728,2,4.584,854,1.372,0.794417606011809,148,0.372
62,Aca ni,RLS,300,0.728,2,4.5691,1580,3.52,0.127241179872759,44,0.316
63,Aca ni,TS,400,,,,,,,,
64,Aca ni,TS,400,,,,,,,,
65,Aca ni,RLS,400,,,,,,,,
66,Aca ni,RLS,400,,,,,,,,
67,Aza in,TS,200,0.739,2,20.0127444342666,5025,1.4595,20.0127444342666,5025,1.4595
68,Aza in,TS,200,0.739,2,14.2735042735043,5010,2.23,14.2735042735043,5010,2.23
69,Aza in,RLS,200,0.739,1,10.0433598870626,2988,3.515,7.6636079459514,2280,2.45
70,Aza in,RLS,200,0.739,1,10.3384615384615,1512,1512,10.2564102564103,1500,1.025
71,Aza in,TS,300,0.739,1,8.16934589800444,2358,1.153,5.88968957871397,1700,0.833
72,Aza in,TS,300,0.739,1,17.4502923976608,2984,1.42,11.2046783625731,1916,0.833
73,Aza in,RLS,300,0.739,1,4.45544554455446,675,1.345,3.935973597,596.3,1.035
74,Aza in,RLS,300,0.739,2,6.51359943482868,1844,4.75,0.974920522783469,276,0.925
75,Aza in,TS,400,0.739,1,4.05504587155963,353.6,1.048,1.69266055045872,147.6,0.483
76,Aza in,TS,400,0.739,1,4.73587449442334,772.8,0.793,4.68194631695061,764,0.753
77,Aza in,RLS,400,0.739,2,3.343460910575,737.3,4.57,1.42526754942862,314.3,1.575
78,Aza in,RLS,400,0.739,2,2.89671497985797,697.5,4.75,0.137048880767474,33,0.445
79,Cal pr,TS,200,0.401,2,12.7205695397915,5003,2.9,,,
80,Cal pr,TS,200,0.401,2,17.8799444829979,5153,1.73,,,
81,Cal pr,RLS,200,0.401,2,4.07086956521739,936.3,4.358,4.07086956521739,936.3,4.358
82,Cal pr,RLS,200,0.401,2,5.52776082977425,1812,4.87,,,
83,Cal pr,TS,300,0.401,1,8.54037267080745,2475,3.54,3.13319530710835,908,1.165
84,Cal pr,TS,300,0.401,1,6.05843768634466,1524,0.984,6.05843768634466,1524,0.984
85,Cal pr,RLS,300,0.401,1,1.3360120542441,266,2.665,1.34806629834254,268.4,2.28
86,Cal pr,RLS,300,0.401,1,1.81166429587482,636.8,3.195,0.243243243243243,85.5,0.795
87,Cal pr,TS,400,0.401,1,2.98177286181648,382.8,0.652,2.98177286181648,382.8,0.652
88,Cal pr,RLS,400,0.401,2,2.54359548988024,363.2,4.94,1.59114783948456,227.2,1.275
89,Cap aph,TS,200,0.871,2,13.1593406593407,4790,1.7,,,
90,Cap aph,TS,200,0.871,2,12.4187906046977,4970,1.74,,,
91,Cap aph,RLS,200,0.871,2,10.4158004158004,5010,2.36,,,
92,Cap aph,RLS,200,0.871,2,9.60315931419765,4985,2.8,,,
93,Cap aph,TS,300,0.871,1,12.7811550151976,4205,1.875,12.7811550151976,4205,1.875
94,Cap aph,TS,300,0.871,2,16.4244566640482,5018,1.72,,,
95,Cap aph,RLS,300,0.871,1,2.14797776499904,560.3,3.172,0.747556066705003,195,0.632
96,Cap aph,RLS,300,0.871,1,5.40337711069418,1440,2.204,1.44090056285178,384,0.796
97,Cap aph,TS,400,0.871,2,2.97850297850298,1035,2.04,2.48928026705804,865,1.803
98,Cap aph,RLS,400,0.871,2,0.454682324601024,135.9,2.22,,,
99,Cap aph,RLS,400,0.871,2,2.01179114496687,689.3,3.696,,,
100,Cas au,TS,200,0.789,2,42.5241755516985,5145,1.71,,,
101,Cas au,TS,200,0.789,2,44.7391304347826,5145,1.54,,,
102,Cas au,RLS,200,0.789,1,14.9407834801093,1476,1.6,,,
103,Cas au,RLS,200,0.789,1,12.6624328285296,1296,0.892,12.1787982413288,1246.5,0.696
104,Cas au,TS,300,0.789,1,8.70571428571428,1218.8,1.484,7.33928571428571,1027.5,0.664
105,Cas au,TS,300,0.789,1,24.9444444444444,2245,1.384,6.61111111111111,595,0.612
106,Cas au,RLS,300,0.789,1,2.66067415730337,236.8,1.753,0.131868131868132,15,0.156
107,Cas au,RLS,300,0.789,1,2.21211515393842,221.3,0.783,0.28314606741573,25.2,0.203
108,Cas au,TS,400,0.789,1,7.35461369322921,970,1.172,3.33611342785655,440,0.624
109,Cas au,RLS,400,0.789,1,4.78065934065934,543.8,2.036,2.0921631347461,209.3,0.643
110,Fic re,TS,200,0.355,2,13.2447368421053,5033,1.7,,,
111,Fic re,TS,200,0.355,1,10.7984607984608,1122.5,0.705,10.7984607984608,1122.5,0.705
112,Fic re,RLS,200,0.355,1,3.92697940989174,1110,0.884,3.92697940989174,1110,0.884
113,Fic re,RLS,200,0.355,2,2.05055849500294,348.8,2.836,1.91887125220459,326.4,1.676
114,Fic re,TS,300,0.355,1,2.01083333333333,241.3,0.904,2.01083333333333,241.3,0.904
115,Fic re,TS,300,0.355,1,8.90985497692815,1081.3,0.844,8.90985497692815,1081.3,0.844
116,Fic re,RLS,300,0.355,2,3.79338842975207,688.5,3.9,1.14490358126722,207.8,1.024
117,Fic re,RLS,300,0.355,2,1.06616017727129,336.8,3.9,0.178537511870845,56.4,0.404
118,Fic re,TS,400,0.355,1,0.423458333333333,101.63,1.252,0.423458333333333,101.63,1.252
119,Fic re,RLS,400,0.355,2,0.119762569832402,51.45,3.7,0.050814711359404,21.83,0.704
120,Ni 1,TS,200,0.34,2,9.50226244343891,4200,2,,,
121,Ni 1,TS,200,0.34,1,32.0642201834862,2796,1.422,32.0642201834862,2796,1.422
122,Ni 1,RLS,200,0.34,1,6.66392431098313,1944,1.094,6.66392431098313,1944,1.094
123,Ni 1,RLS,200,0.34,2,4.13770734871652,446.5,1.97,,,
124,Ni 1,TS,300,0.34,2,4.76683401480255,921,1.642,3.02779359246416,585,0.808
125,Ni 1,TS,300,0.34,1,0.864164191196327,224,1.012,0.26079240770032,67.6,0.302
126,Ni 1,RLS,300,0.34,1,0.515200742631701,88.8,1.292,0.183917382223254,31.7,0.402
127,Ni 1,RLS,300,0.34,1,0.293495324551225,43,0.772,0.252542488567333,37,0.422
128,Ni 1,TS,400,0.34,1,1.77870405456612,93.88,0.722,0.899962106858659,47.5,0.152
129,Ni 1,RLS,400,0.34,2,0.267519365880022,14.85,2,0.119798234552333,6.65,0.122
130,Ni 2,TS,200,0.669,2,15.5276225946617,5003,1.56,,,
131,Ni 2,TS,200,0.669,2,13.96875,4470,1.604,13.96875,4470,1.604
