,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41,ME-ICP41
SAMPLE,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn
DESCRIPTION,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm
KMR DC001,0.3,0.08,1.99,80,50,0.49,1.99,2.65,0.49,0.99,3,17,0.18,9.99,0.99,0.24,9.99,0.83,148,4,0.08,2,2510,3,0.31,1.99,0.99,334,19.99,0.009,9.99,9.99,4,9.99,66
KMR DC002,0.2,0.15,1.99,40,30,0.49,1.99,2.37,0.49,2,6,15,0.4,9.99,0.99,0.43,9.99,0.6,108,2,0.05,2,2000,5,0.18,1.99,1,242,19.99,0.009,9.99,9.99,7,9.99,60
KMR DC003,0.2,0.08,1.99,30,40,0.49,1.99,3.13,0.49,1,3,17,0.23,9.99,0.99,0.21,9.99,1.01,113,6,0.03,3,3050,2,0.18,1.99,0.99,437,19.99,0.009,9.99,9.99,4,9.99,64
KMR DC004,0.19,0.09,1.99,30,30,0.49,1.99,1.36,0.49,1,5,16,0.2,9.99,0.99,0.69,9.99,0.47,103,2,0.12,2,3240,4,0.26,1.99,0.99,164,19.99,0.009,9.99,9.99,4,9.99,69
KMR DC005,0.19,0.16,1.99,20,30,0.49,1.99,0.94,0.49,1,7,11,0.66,9.99,0.99,1.54,9.99,0.33,73,1,0.14,2,2090,5,0.25,1.99,1,131,19.99,0.01,9.99,9.99,11,9.99,42
KMR DC006,0.2,0.05,1.99,50,20,0.49,1.99,2.1,0.49,0.99,2,16,0.11,9.99,0.99,0.57,9.99,0.51,89,4,0.1,0.99,3390,2,0.21,1.99,0.99,274,19.99,0.009,9.99,9.99,3,9.99,65
KMR DC007,0.19,0.06,1.99,30,40,0.49,1.99,3.18,0.49,1,2,13,0.24,9.99,0.99,0.28,9.99,0.86,117,6,0.03,2,3170,2,0.19,1.99,0.99,446,19.99,0.009,9.99,9.99,4,9.99,65
KMR DC008,0.8,0.18,1.99,50,50,0.49,1.99,2.14,0.49,2,7,16,0.48,9.99,0.99,1.25,9.99,0.58,117,2,0.21,3,2440,5,0.27,199,1,227,19.99,0.009,9.99,9.99,9,9.99,63
ALM DC001,0.19,0.42,3,9.99,50,0.49,1.99,0.71,0.49,2,10,15,0.7,9.99,0.99,1.16,9.99,0.61,140,2,0.05,7,2750,7,0.36,1.99,1,77,19.99,0.02,9.99,9.99,11,9.99,44
ALM DC002,0.2,0.11,1.99,10,60,0.49,1.99,1.3,0.49,1,9,21,0.19,9.99,0.99,2.4,9.99,0.59,127,3,0.41,3,3350,4,0.61,1.99,0.99,73,19.99,0.01,9.99,9.99,5,9.99,50
