SU	Sample	Concentration	Morphotypes	Unidentified	Inflorescence	Leaf/culm	Woody	Spherulites
10	10-526	835941.55	16	26	7	291	23	0
10	10-527	1825949.49	19	1	6	319	7	0
10	10-528	1053992.00	13	2	0	289	10	0
10	10-529	231095.93	11	30	4	344	3	0
10	10-556	529022.95	17	36	4	302	14	0
10	10-557	3626046.96	12	0	4	323	4	0
10	10-558	503719.65	12	0	8	332	5	0
10	10-559	217682.11	16	28	7	327	11	0
20	20-496	1664587.97	18	26	5	335	12	0
20	20-526	4136296.30	15	14	0	285	17	0
20	20-527	1652520.95	13	24	4	302	24	753
20	20-528	1781401.28	14	3	3	330	4	0
20	20-529	2693482.93	16	99	4	232	16	0
20	20-556	1148237.59	10	8	0	324	2	1991
20	20-557	2105418.30	11	7	4	297	2	2192
20	20-558	571398.30	14	10	6	312	6	0
20	20-559	830310.12	17	21	0	330	10	305
53	53-436-6	409321.44	14	16	8	288	18	0
53	53-436-7	181593.94	11	0	0	174	128	0
53	53-436-8	186090.89	12	15	4	76	38	2
53	53-437	158425.21	8	14	0	286	32	0
53	53-438	252903.95	18	50	2	235	71	0
53	53-467	1285495.93	11	41	2	327	13	0
53	53-468	29323.46	11	4	0	17	13	0
53	53-469	94217.82	12	16	1	34	24	107
29	29-1	609129.72	16	42	8	245	57	30
29	29-2	3799335.69	14	13	8	294	8	25
29	29-3	217013.57	10	10	0	166	9	22
29	29-4	278200.64	9	4	0	54	4	8
29	29-5	577472.16	13	88	1	228	44	56
29	29-6	612300.34	9	28	0	220	12	3
