context	Dry_thorn_scrubland	hygrophile	anthropogenic	mountain_forest	undetermined
pit	0.96	0.80	0.92	0.00	0.96
pit	0.00	0.40	0.00	0.88	0.64
floor	0.52	0.76	0.44	0.96	0.64
floor	1.00	0.92	0.88	0.92	1.00
floor	0.20	0.00	0.00	0.00	0.32
fireplace	0.92	0.32	0.44	0.00	0.00
fireplace	0.40	0.60	0.68	0.00	0.00
fireplace	0.80	0.28	0.80	0.64	0.64
fireplace	0.52	0.36	0.60	0.64	0.88
fireplace	0.08	0.00	1.00	0.64	0.00
fireplace	0.40	0.00	0.60	0.00	0.00
fireplace	0.60	0.24	0.84	0.80	0.32
fireplace	0.24	0.00	0.56	0.00	0.00
fireplace	0.60	0.64	0.76	0.76	0.32
fireplace	0.36	0.84	0.00	0.00	0.64
fireplace	0.08	0.48	0.44	0.00	0.00
fireplace	0.32	0.00	0.00	0.00	0.00
fireplace	0.00	0.52	0.00	0.80	0.00
fireplace	0.72	0.96	0.00	0.00	0.52
fireplace	0.84	1.00	0.00	0.00	0.64
fireplace	0.16	0.56	0.00	0.00	0.32
fireplace	0.68	0.00	0.00	0.00	0.64
fireplace	0.48	0.40	0.68	0.00	0.32
fireplace	0.72	0.68	0.96	0.00	0.52
fireplace	0.88	0.72	0.00	1.00	0.92
fireplace	0.28	0.88	0.00	0.00	0.52
