context	Ag	Al	As	B	Ba	Be	Bi	Ca	Cd	Co	Cr	Cu	Fe	Ga	Hg	K	La	Mg	Mn	Mo	Na	Ni	P	Pb	S	Sb	Sc	Sr	Th	Ti	Tl	U	V	W	Zn
ash	0.0000	0.6471	0.6471	0.3529	0.6471	0.2941	0.0000	0.8824	0.0000	0.1176	0.4706	0.5882	0.2353	0.0000	0.0000	0.7059	0.0588	0.6471	0.7647	0.0000	0.7059	0.4706	0.8235	0.0000	0.8824	0.0000	0.0000	0.8824	0.0000	0.0000	0.0000	0.0000	0.7647	0.0000	0.5882
ash	0.7059	0.7059	0.1765	0.8824	0.6471	0.0000	0.0000	0.8235	0.0000	0.0588	0.4118	0.8235	0.0000	0.0000	0.0000	0.8824	0.0588	0.9412	0.5882	0.0000	0.8824	0.2353	0.9412	0.1176	0.5882	0.0000	0.0000	0.8235	0.0000	0.6471	0.0000	0.0000	0.2353	0.0000	0.8235
ash	0.8824	0.2941	0.1765	0.8824	0.3529	0.0000	0.0000	0.9412	0.0000	0.1176	0.0588	0.8824	0.0588	0.0000	0.5294	0.5294	0.0588	0.7059	0.4118	0.0000	0.4706	0.1765	0.6471	0.4118	1.0000	0.0000	0.0000	0.9412	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3529
ash	0.0000	0.0588	0.1765	0.1176	0.0000	0.0000	0.0000	0.1176	0.0000	0.1176	0.0000	0.1765	0.1765	0.0000	0.0000	0.1765	0.0000	0.1176	0.0000	0.0000	0.2353	0.0588	0.3529	0.1176	0.7059	0.0000	0.0000	0.2353	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1176
floor	0.0000	0.3529	0.0000	0.1176	0.4706	0.6471	0.0000	0.2941	0.0000	0.8824	0.5882	0.4706	0.8235	0.0000	0.0000	0.1765	0.0588	0.5882	0.5294	0.0000	0.1765	0.7059	0.2353	0.7647	0.1765	0.0000	0.6471	0.1176	0.0000	0.0000	0.0000	0.0000	0.4706	0.0000	0.1765
floor	0.4118	0.4118	0.6471	0.3529	0.5294	0.6471	0.0000	0.7647	0.0000	0.7059	0.5294	0.7647	0.8824	0.0000	0.5294	0.4706	0.0588	0.7647	0.7647	0.0000	0.6471	0.7647	0.5294	0.4118	0.3529	0.0000	0.6471	0.5294	0.0000	0.0000	0.0000	0.0000	0.6471	0.0000	0.6471
plaster	0.8824	1.0000	0.9412	0.7647	0.9412	1.0000	0.0000	0.7059	0.0000	0.9412	1.0000	0.7059	1.0000	0.8235	0.5294	1.0000	1.0000	0.8235	0.9412	0.0000	0.9412	1.0000	0.8824	1.0000	0.5294	0.0000	1.0000	0.7647	0.0000	0.9412	0.0000	0.0000	1.0000	0.0000	1.0000
plaster	0.7059	0.5882	0.1765	0.1176	0.6471	0.7647	0.0000	0.1765	0.0000	1.0000	0.7647	0.9412	0.9412	0.0000	0.0000	0.1176	0.0588	0.5294	1.0000	0.0000	0.1176	0.9412	0.7647	0.7059	0.1176	0.0000	0.8824	0.2941	0.0000	0.0000	0.0000	0.0000	0.5882	0.0000	0.8824
fireplace	0.4118	0.1176	0.1765	0.7647	0.2941	0.0000	0.0000	0.5882	0.0000	0.1176	0.1176	0.5882	0.3529	0.0000	0.0000	0.5882	0.0588	1.0000	0.7059	0.0000	0.4706	0.0588	0.7059	0.0000	0.5882	0.0000	0.0000	0.7059	0.0000	0.0000	0.0000	0.0000	0.1176	0.0000	0.8824
fireplace	0.0000	0.5294	0.6471	0.1176	0.0588	0.2941	0.0000	0.4706	0.0000	0.3529	0.2941	0.3529	0.1176	0.0000	0.0000	0.4118	0.0588	0.4706	0.3529	0.0000	0.4118	0.4706	0.5882	0.4118	0.2353	0.0000	0.0000	0.4706	0.0000	0.0000	0.0000	0.0000	0.2941	0.0000	0.4118
fireplace	0.0000	0.1765	0.0000	0.3529	0.1176	0.2941	0.0000	0.4118	0.0000	0.3529	0.1765	0.4706	0.4706	0.0000	0.0000	0.2941	0.0588	0.3529	0.1765	0.0000	0.2941	0.2353	0.4706	0.1176	0.8235	0.0000	0.0000	0.6471	0.0000	0.0000	0.0000	0.0000	0.4118	0.0000	0.4706
fireplace	0.4118	0.8824	0.6471	0.3529	0.8824	0.8824	0.0000	0.3529	0.0000	0.7059	0.8824	0.1176	0.7647	0.8235	0.5294	0.8235	0.8235	0.3529	0.4706	0.0000	0.7647	0.8824	0.2941	0.9412	0.3529	0.0000	0.8824	0.4118	0.0000	0.6471	0.0000	0.0000	0.8824	0.0000	0.6471
fireplace	0.4118	0.8235	0.6471	0.3529	0.5294	0.8235	0.0000	0.2353	0.0000	0.6471	0.8235	0.2353	0.6471	0.8235	0.5294	0.6471	0.8235	0.1765	0.1176	0.0000	0.5882	0.5882	0.1765	0.8235	0.2353	0.0000	0.6471	0.1176	0.0000	0.6471	0.0000	0.0000	0.8235	0.0000	0.2941
fireplace	0.4118	0.9412	0.1765	0.3529	0.6471	0.8824	0.0000	0.6471	0.0000	0.7059	0.8824	0.2941	0.6471	0.8235	0.5294	0.7647	0.8235	0.2353	0.2353	0.0000	0.8235	0.7647	0.1176	0.8824	0.9412	0.0000	0.6471	0.3529	0.0000	0.6471	0.0000	0.0000	0.9412	0.0000	0.4706
fireplace	0.8235	0.4706	0.1765	0.3529	0.1176	0.2941	0.0000	0.5294	0.0000	0.3529	0.2941	0.3529	0.4118	0.0000	0.5294	0.3529	0.0588	0.2941	0.2941	0.0000	0.3529	0.2353	0.4118	0.2941	0.3529	1.0000	0.0000	0.5882	0.0000	0.0000	0.0000	0.0000	0.2941	0.0000	0.2353
fireplace	1.0000	0.7647	0.9412	1.0000	1.0000	0.5882	0.0000	1.0000	0.0000	0.3529	0.5882	1.0000	0.2941	0.0000	0.5294	0.9412	0.0588	0.8824	0.8824	0.0000	0.9412	0.5882	1.0000	0.4118	0.7647	0.0000	0.5294	1.0000	0.0000	0.9412	0.0000	0.0000	0.6471	0.0000	0.7647
control	0.0000	0.0000	0.0000	0.0000	0.1176	0.0000	0.0000	0.0588	0.0000	0.0000	0.1765	0.0000	0.5294	0.0000	0.5294	0.0588	0.0588	0.0000	0.0588	0.0000	0.0000	0.0000	0.0588	0.2941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1765	0.0000	0.0000
control	0.0000	0.2353	0.5882	0.0000	0.3529	0.2941	0.0000	0.0000	0.0000	0.5882	0.5882	0.0588	0.5882	0.0000	0.0000	0.0000	0.0588	0.0588	0.6471	0.0000	0.0588	0.4118	0.0000	0.4118	0.0000	0.0000	0.5294	0.0000	0.0000	0.6471	0.0000	0.0000	0.4706	0.0000	0.0588
