,,Absolute numbers,,,,,,,,,,,,,,,,
,,Pit,,Fireplace,,,,,Floor,,,Occuapation level,,,,,,
,,SKP 08 P001 Es4,SKP 08 P002 Fp1,SKP 08 FP001 Es4,SKP 08 FP002 Es4,SKP 08 FP003 Es4,SKP 08 HL003 Es4,SKP 08 HL010 Es4,SKP 08 HL011 Es4,SKP 08 HL024 Es4,SKP 08 HL022 ES4,SKP 08 HL017 Es4,SKP 08 HL001 Es4,SKP 08 HL009 Es4,SKP 08 HL020 Es4,SKP 08 HL006 ES4,AN,RN
DRY THORN SCRUBLAND,Acacia senegal,,,,13,,,,,,,1,,,,,14,1.84
,Prosopis cineraria,,,,,,,13,,12,,,,,,,25,3.28
,Salvadora sp.,,,,12,,2,,,6,,,5,,20,8,53,6.96
,Salvadora oleoides,,,1,,1,,,,,,4,,,,,6,0.79
,Salvadora persica,7,,7,,6,,,20,,,,,,,,40,5.25
,Capparis decidua,,40,,,5,,8,17,5,10,,6,,,7,98,12.86
,Ziziphus nummularia,,5,,,8,,49,,,,,,,,9,71,9.32
,Ziziphus sp.,,,,,,6,,5,5,,5,,,,,21,2.76
,Azadirachta indica,,8,31,,,,,10,,,9,4,7,22,,91,11.94
,Leptadenia pyrotechnica,,,,,2,,,,,,,,,,,2,0.26
,Calotropis procera,,,,,,,,6,,,,,,,,6,0.79
,,,,,,,,,,,,,,,,,,
RIVERINE,Acacia nilotica,15,,1,48,,30,,5,,,7,,,,,106,13.91
,,,,,,,,,,,,,,,,,,
MANGROVE,Bruguiera gymnorrhiza,,,,,,,,,,18,,,,,,18,2.36
,,,,,,,,,,,,,,,,,,
,Unidentified type 1,,,,,,,,,,,,,,5,,5,0.66
,Unidentified type 2,,,,10,,,,,,,,,,,,10,1.31
,Unidentified type 3,,,,,,,,,,,,,6,10,,16,2.10
,Unidentified type 4,,,,,,,4,3,,,,1,13,,,21,2.76
,,,,,,,,,,,,,,,,,,
,Parenchyma,,1,,,,,,,,,2,,,,,3,0.39
,,,,,,,,,,,,,,,,,,
,Undetermined,4,6,6,25,19,14,8,18,6,4,7,3,12,12,12,156,20.47
,,,,,,,,,,,,,,,,,,
,TOT,26,60,46,108,41,52,82,84,34,32,35,19,38,69,36,762,100.00
,,,,,,,,,,,,,,,,,,
,,Relative count,,,,,,,,,,,,,,,,
,,SKP 08 P001 Es4,SKP 08 P002 Fp1,SKP 08 FP001 Es4,SKP 08 FP002 Es4,SKP 08 FP003 Es4,SKP 08 HL003 Es4,SKP 08 HL010 Es4,SKP 08 HL011 Es4,SKP 08 HL024 Es4,SKP 08 HL022 ES4,SKP 08 HL017 Es4,SKP 08 HL001 Es4,SKP 08 HL009 Es4,SKP 08 HL020 Es4,SKP 08 HL006 ES4,,
DRY THORN SCRUBLAND,Acacia senegal,,,,12.04,,,,,,,2.86,,,,,,
,Prosopis cineraria,,,,,,,15.85,,35.29,,,,,,,,
,Salvadora sp.,,,,11.11,,3.85,,,17.65,,,26.32,,28.99,22.22,,
,Salvadora oleoides,,,2.17,,2.44,,,,,,11.43,,,,,,
,Salvadora persica,26.92,,15.22,,14.63,,,23.81,,,,,,,,,
,Capparis decidua,,66.67,,,12.20,,9.76,20.24,14.71,31.25,,31.58,,,19.44,,
,Ziziphus nummularia,,8.33,,,19.51,,59.76,,,,,,,,25.00,,
,Ziziphus sp.,,,,,,11.54,,5.95,14.71,,14.29,,,,,,
,Azadirachta indica,,13.33,67.39,,,,,11.90,,,25.71,21.05,18.42,31.88,,,
,Leptadenia pyrotechnica,,,,,4.88,,,,,,,,,,,,
,Calotropis procera,,,,,,,,7.14,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RIVERINE,Acacia nilotica,57.69,,2.17,44.44,,57.69,,5.95,,,20.00,,,,,,
,,,,,,,,,,,,,,,,,,
MANGROVE,Bruguiera gymnorrhiza,,,,,,,,,,56.25,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unid 1,,,,,,,,,,,,,,7.25,,,
,unid 2,,,,9.26,,,,,,,,,,,,,
,unid 3,,,,,,,,,,,,,15.79,14.49,,,
,unid 4,,,,,,,4.88,3.57,,,,5.26,34.21,,,,
,,,,,,,,,,,,,,,,,,
,Parenchyma,,1.67,,,,,,,,,5.71,,,,,,
,,,,,,,,,,,,,,,,,,
,Unid,15.38,10.00,13.04,23.15,46.34,26.92,9.76,21.43,17.65,12.50,20.00,15.79,31.58,17.39,33.33,,
,,,,,,,,,,,,,,,,,,
,TOT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
