site,sample,ID,slide,slide+soil,soil,spherulites,,
Harappa,H88 539 25 990201.03,HARP 201.03,4.6897,4.6977,0.0080,-,,
,H88 772 990201.06,HARP 201.06,4.6762,4.6815,0.0053,-,,- = ABSENT
,H88 572 45 990201.08,HARP 201.08,4.7239,4.7265,0.0026,-,,+ = PRESENT <5
,H88 772 29 30 990201.11,HARP 201.11,4.7001,4.7048,0.0047,+,,++ = PRESENT >5
,H88 574 48 990201.19,HARP 201.19,4.8294,4.8348,0.0054,-,,
,H88 368 82 990201.21,HARP 201.21,4.6761,4.6798,0.0037,-,,
,H97 7846 573 99.0201.26,HARP 201.26,4.7232,4.7261,0.0029,-,,
,H90 3066 74 990202.01,HARP 202.01,4.7211,4.7262,0.0051,-,,
,H90 3062 69 990202.02,HARP 202.02,4.7010,4.7036,0.0026,-,,
,H90 3065 73 990202.03,HARP 202.03,4.7081,4.7126,0.0045,-,,
,H90 3052 57 990202.04,HARP 202.04,4.6918,4.6992,0.0074,++,,
,H90 3055 59 990202.05,HARP 202.05,4.6959,4.7016,0.0057,-,,
,H90 3048 53 990202.06,HARP 202.06,4.6998,4.7034,0.0036,-,,
,H90 3056 60 990202.07,HARP 202.07,4.6910,4.6952,0.0042,-,,
,H89 2004 506 990202.08,HARP 202.08,4.5571,4.5603,0.0032,-,,
,H89 2032.27 990202.15,HARP 202.15,4.6980,4.7013,0.0033,+,,
Kanmer,KMR 07/08 A005 A Z17,KMR 07/08 A001,4.7878,4.7910,0.0032,-,,
,KMR 07/08 A005 B Z17,KMR 07/08 A002,4.7553,4.7569,0.0016,-,,
,KMR 07/08 A005 C Z17,KMR 07/08 A003,4.7671,4.7697,0.0026,++,,
,KMR 07/08 A006 AA17,KMR 08/08 A004,4.7706,4.7739,0.0033,-,,
,KMR 07/08 FL002 B Z17NE,KMR 07/08 FL001,4.7425,4.7484,0.0059,-,,
,KMR 07/08 FL003 Z18 NW,KMR 07/08 FL002,4.7067,4.7103,0.0036,-,,
,KMR 07/08 FP005 PLASTER ON OUTER WALL Z17,KMR 07/08 PL001,4.7675,4.7706,0.0031,-,,
