ID,Context,Al,Ba,Ca,Co,Cr,Fe,Mn,Ni,Pb,Sc,Sr,Ti,V
ALM 128-45,Pit,0.214843848,2.079181246,0.017033339,1,1.447158031,0.378397901,2.737192643,1.431363764,1,0.602059991,1.763427994,-1.096910013,1.568201724
ALM 127-43,Pit,0.193124598,2.176091259,0.187520721,0.954242509,1.397940009,0.352182518,2.797267541,1.380211242,0.903089987,0.477121255,1.908485019,-1.15490196,1.579783597
ALM 114-17,Floor,0.190331698,2.079181246,0.079181246,1,1.397940009,0.376576957,2.768638101,1.414973348,1,0.602059991,1.86332286,-1.096910013,1.477121255
ALM 106-6,Floor,0.271841607,2.176091259,0.123851641,1.041392685,1.477121255,0.444044796,2.835056102,1.491361694,1.041392685,0.602059991,1.934498451,-1.096910013,1.579783597
ALM 108-10,Pit,0.170261715,2.079181246,0.133538908,0.954242509,1.414973348,0.348304863,2.667452953,1.361727836,0.903089987,0.477121255,2.149219113,-1.15490196,1.477121255
ALM 106-13,Pit,0.264817823,2.204119983,0.190331698,1,1.491361694,0.403120521,2.836956737,1.462397998,1.041392685,0.602059991,2.025305865,-1.096910013,1.544068044
ALM 116-21,Ash accumulation,0.212187604,1.954242509,-0.013228266,1,1.431363764,0.392696953,2.694605199,1.431363764,1.079181246,0.602059991,1.77815125,-1.096910013,1.505149978
ALM 112-15,Pit,0.201397124,2.322219295,0.492760389,0.903089987,1.447158031,0.305351369,2.826074803,1.361727836,0.84509804,0.477121255,2.222716471,-1.15490196,1.491361694
ALM 122-33,Ash accumulation,0.184691431,2.301029996,0.36361198,0.954242509,1.397940009,0.309630167,2.903089987,1.397940009,0.903089987,0.477121255,2.100370545,-1.15490196,1.491361694
ALM 118-25,Floor,0.181843588,2.278753601,0.190331698,0.954242509,1.397940009,0.361727836,2.911157609,1.397940009,0.954242509,0.477121255,2.012837225,-1.15490196,1.505149978
ALM 115-19,Ash accumulation,0.255272505,2.079181246,0.113943352,1.041392685,1.491361694,0.421603927,2.760422483,1.491361694,1.113943352,0.602059991,1.903089987,-1.045757491,1.579783597
ALM 121-31,Floor,0.184691431,2.342422681,0.378397901,0.954242509,1.380211242,0.305351369,2.98811284,1.380211242,0.903089987,0.477121255,2.136720567,-1.15490196,1.505149978
ALM 107-8,Floor,0.214843848,2.113943352,0.193124598,1,1.431363764,0.389166084,2.791690649,1.431363764,1,0.602059991,2.049218023,-1.096910013,1.51851394
ALM 125-39,Floor,0.184691431,2.230448921,0.255272505,0.903089987,1.431363764,0.290034611,2.77524626,1.322219295,0.77815125,0.477121255,1.991226076,-1.15490196,1.477121255
ALM 117-23,Floor,0.206825876,2.079181246,0.136720567,0.954242509,1.447158031,0.378397901,2.7355989,1.397940009,1,0.602059991,1.913813852,-1.096910013,1.51851394
