ID,Context,Al,Ba,Ca,Co,Cr,Fe,Mn,Mo,Ni,Pb,Sc,Sr,Ti,V
HARP 201.03,Floor,0.149219113,1.954242509,0.785329835,0.903089987,1.380211242,0.376576957,2.596597096,0.602059991,1.380211242,1.079181246,0.477121255,2.857332496,-1.301029996,1.414973348
HARP 201.06,Ash accumulation,-0.060480747,1.602059991,1.147676324,0.698970004,1.176091259,0.096910013,2.450249108,0.477121255,1.176091259,0.903089987,0.301029996,3.595496222,-1.522878745,1.204119983
HARP 201.08,Floor,0.167317335,2,0.525044807,1.041392685,1.414973348,0.439332694,2.733197265,0.602059991,1.477121255,1.204119983,0.477121255,2.491361694,-1.397940009,1.431363764
HARP 201.11,Fireplace,-0.065501549,1.477121255,1.235528447,0.602059991,1.113943352,0.033423755,2.399673721,0.602059991,1.079181246,1.897627091,0,3.589949601,-1.698970004,1.146128036
HARP 201.19,Ash accumulation,-0.148741651,1.602059991,1.225309282,0.602059991,1.146128036,0.012837225,2.298853076,0.477121255,1.041392685,0.77815125,0,3.283301229,-1.698970004,1.113943352
HARP 201.21,Fireplace,0.264817823,2.113943352,0.602059991,1,1.491361694,0.444044796,2.687528961,0.602059991,1.531478917,1.322219295,0.602059991,2.69019608,-1.301029996,1.568201724
HARP 201.26,Fireplace,-0.327902142,1.602059991,1.255272505,0.301029996,0.954242509,-0.214670165,2.176091259,0.477121255,0.84509804,0.477121255,0,3.656098202,-1.698970004,0.954242509
HARP 202.02,Street,0.170261715,2.113943352,0.663700925,0.954242509,1.431363764,0.383815366,2.661812686,0.602059991,1.447158031,1.176091259,0.477121255,2.713490543,-1.301029996,1.462397998
HARP 202.03,Street,0.164352856,2.079181246,0.606381365,1,1.431363764,0.387389826,2.664641976,0.602059991,1.447158031,1.230448921,0.477121255,2.583198774,-1.301029996,1.431363764
HARP 202.04,Street,0.187520721,1.954242509,0.492760389,1.079181246,1.447158031,0.462397998,2.672097858,0.77815125,1.51851394,1.176091259,0.477121255,2.378397901,-1.22184875,1.477121255
HARP 202.05,Street,0.161368002,1.954242509,0.550228353,1,1.447158031,0.409933123,2.656098202,0.698970004,1.477121255,1.146128036,0.477121255,2.382017043,-1.301029996,1.477121255
HARP 202.06,Street,0.161368002,1.903089987,0.606381365,1,1.431363764,0.404833717,2.649334859,0.602059991,1.491361694,1.113943352,0.477121255,2.307496038,-1.301029996,1.491361694
HARP 202.07,Street,0.176091259,2.041392685,0.597695186,1,1.462397998,0.403120521,2.683947131,0.602059991,1.462397998,1.204119983,0.477121255,2.632457292,-1.301029996,1.477121255
HARP 202.08,Ash accumulation,0.146128036,2.230448921,0.780317312,0.903089987,1.322219295,0.340444115,2.649334859,0.698970004,1.361727836,1.041392685,0.301029996,3.089905111,-1.397940009,1.361727836
HARP 202.15,Fireplace,0.260071388,2.146128036,0.456366033,0.903089987,1.397940009,0.36361198,2.694605199,0.602059991,1.380211242,0.903089987,0.477121255,2.46686762,-1.301029996,1.477121255
HARP 202.01,Street,0.170261715,2.041392685,0.617000341,1,1.431363764,0.378397901,2.668385917,0.698970004,1.447158031,1.361727836,0.477121255,2.545307116,-1.301029996,1.477121255
KMR DC001,Dung fresh,-1.096910013,1.698970004,0.423245874,-0.004364805,0.477121255,-0.744727495,2.170261715,0.602059991,0.301029996,0.477121255,-0.004364805,2.523746467,-2.045757491,0.602059991
KMR DC002,Dung fresh,-0.823908741,1.477121255,0.374748346,0.301029996,0.77815125,-0.397940009,2.033423755,0.301029996,0.301029996,0.698970004,0,2.383815366,-2.045757491,0.84509804
KMR DC003,Dung fresh,-1.096910013,1.602059991,0.495544338,0,0.477121255,-0.638272164,2.053078443,0.77815125,0.477121255,0.301029996,-0.004364805,2.640481437,-2.045757491,0.602059991
KMR DC004,Dung fresh,-1.045757491,1.477121255,0.133538908,0,0.698970004,-0.698970004,2.012837225,0.301029996,0.301029996,0.602059991,-0.004364805,2.214843848,-2.045757491,0.602059991
KMR DC005,Dung fresh,-0.795880017,1.477121255,-0.026872146,0,0.84509804,-0.180456064,1.86332286,0,0.301029996,0.698970004,0,2.117271296,-2,1.041392685
KMR DC006,Dung fresh,-1.301029996,1.301029996,0.322219295,-0.004364805,0.301029996,-0.958607315,1.949390007,0.602059991,-0.004364805,0.301029996,-0.004364805,2.437750563,-2.045757491,0.477121255
KMR DC007,Dung fresh,-1.22184875,1.602059991,0.50242712,0,0.301029996,-0.619788758,2.068185862,0.77815125,0.301029996,0.301029996,-0.004364805,2.649334859,-2.045757491,0.602059991
KMR DC008,Dung fresh,-0.744727495,1.698970004,0.330413773,0.301029996,0.84509804,-0.318758763,2.068185862,0.301029996,0.477121255,0.698970004,0,2.356025857,-2.045757491,0.954242509
ALM DC001,Dung fresh,-0.37675071,1.698970004,-0.148741651,0.301029996,1,-0.15490196,2.146128036,0.301029996,0.84509804,0.84509804,0,1.886490725,-1.698970004,1.041392685
ALM DC002,Dung fresh,-0.958607315,1.77815125,0.113943352,0,0.954242509,-0.721246399,2.103803721,0.477121255,0.477121255,0.602059991,-0.004364805,1.86332286,-2,0.698970004
NAG DC001,Dung fresh,-0.823908741,1.77815125,-0.055517328,0.301029996,1.113943352,-0.508638306,2.971739591,0.477121255,0.84509804,0.477121255,-0.004364805,2.120573931,-2,0.903089987
KMR DC001 ash,Dung ash,-0.022276395,2.113943352,1.025305865,0.301029996,1.079181246,-0.173925197,2.630427875,0.954242509,0.84509804,0.903089987,0,3.100370545,-2,1.230448921
KMR DC002 ash,Dung ash,0,2.255272505,1,0.477121255,1.176091259,-0.102372909,2.660865478,1,1.041392685,1.255272505,0,3.115610512,-1.698970004,1.301029996
