ID,Context,Al,Ba,Ca,Co,Cr,Fe,Mn,Mo,Ni,Pb,Sc,Sr,Ti,V
KMR A001,Ash accumulation,0.045322979,2,0.777426822,0.84509804,1.278753601,0.079181246,2.334453751,-0.004364805,1.301029996,0.477121255,0.301029996,2.755874856,-2,1.544068044
KMR A002,Ash accumulation,0.093421685,2,0.745074792,0.77815125,1.204119983,-0.008773924,2.307496038,-0.004364805,1.255272505,0.602059991,0.301029996,2.693726949,-1.698970004,1.361727836
KMR A003,Ash accumulation,-0.200659451,1.84509804,0.935507266,0.84509804,1.079181246,0.017033339,2.247973266,-0.004364805,1.230448921,0.77815125,0.301029996,2.941511433,-2,1.278753601
KMR A004,Ash accumulation,-0.397940009,1.477121255,0.187520721,0.84509804,1.041392685,0.075546961,2.086359831,-0.004364805,1.204119983,0.602059991,0.301029996,2.209515015,-2,1.278753601
KMRFL001,Floor,-0.15490196,1.903089987,0.315970345,1.146128036,1.322219295,0.290034611,2.271841607,-0.004364805,1.361727836,0.903089987,0.602059991,2.195899652,-2,1.477121255
KMR FL002,Floor,-0.124938737,1.954242509,0.57054294,1.079181246,1.301029996,0.292256071,2.334453751,-0.004364805,1.380211242,0.77815125,0.602059991,2.428134794,-2,1.51851394
KMR PL001,Plaster,0.713490543,2.278753601,0.499687083,1.176091259,1.643452676,0.399673721,2.457881897,-0.004364805,1.51851394,1.230448921,0.84509804,2.629409599,-1.522878745,1.755874856
KMR PL002,Plaster,-0.031517051,2,0.23299611,1.204119983,1.380211242,0.344392274,2.505149978,-0.004364805,1.505149978,0.84509804,0.698970004,2.220108088,-2,1.491361694
KMR FP001,Fireplace,-0.283996656,1.77815125,0.460897843,0.84509804,1.113943352,0.093421685,2.324282455,-0.004364805,1.204119983,0.477121255,0.301029996,2.51851394,-2,1.301029996
KMR FP002,Fireplace,-0.107905397,1.602059991,0.392696953,0.903089987,1.176091259,0.056904851,2.227886705,-0.004364805,1.301029996,0.77815125,0.301029996,2.416640507,-2,1.397940009
KMR FP003,Fireplace,-0.27572413,1.698970004,0.374748346,0.903089987,1.146128036,0.113943352,2.198657087,-0.004364805,1.255272505,0.602059991,0.301029996,2.496929648,-2,1.414973348
KMR FP004,Fireplace,0.645422269,2.041392685,0.342422681,1.079181246,1.602059991,0.230448921,2.250420002,-0.004364805,1.414973348,1.146128036,0.698970004,2.33243846,-1.698970004,1.568201724
KMR FP005 II,Fireplace,0.593286067,1.954242509,0.250420002,1.041392685,1.556302501,0.170261715,2.187520721,-0.004364805,1.342422681,1.041392685,0.602059991,2.195899652,-1.698970004,1.556302501
KMR FP006,Fireplace,0.658011397,2,0.46686762,1.079181246,1.602059991,0.170261715,2.204119983,-0.004364805,1.380211242,1.113943352,0.602059991,2.326335861,-1.698970004,1.591064607
KMR FP007,Fireplace,-0.113509275,1.698970004,0.428134794,0.903089987,1.176091259,0.103803721,2.222716471,-0.004364805,1.255272505,0.698970004,0.301029996,2.44870632,-2,1.397940009
KMR FP008,Fireplace,0.274157849,2.431363764,0.958563883,0.903089987,1.322219295,0.08278537,2.359835482,-0.004364805,1.342422681,0.77815125,0.477121255,3.089905111,-1.522878745,1.51851394
KMR DC001,Dung fresh,-1.096910013,1.698970004,0.423245874,-0.004364805,0.477121255,-0.744727495,2.170261715,0.602059991,0.301029996,0.477121255,-0.004364805,2.523746467,-2.045757491,0.602059991
KMR DC002,Dung fresh,-0.823908741,1.477121255,0.374748346,0.301029996,0.77815125,-0.397940009,2.033423755,0.301029996,0.301029996,0.698970004,0,2.383815366,-2.045757491,0.84509804
KMR DC003,Dung fresh,-1.096910013,1.602059991,0.495544338,0,0.477121255,-0.638272164,2.053078443,0.77815125,0.477121255,0.301029996,-0.004364805,2.640481437,-2.045757491,0.602059991
KMR DC004,Dung fresh,-1.045757491,1.477121255,0.133538908,0,0.698970004,-0.698970004,2.012837225,0.301029996,0.301029996,0.602059991,-0.004364805,2.214843848,-2.045757491,0.602059991
KMR DC005,Dung fresh,-0.795880017,1.477121255,-0.026872146,0,0.84509804,-0.180456064,1.86332286,0,0.301029996,0.698970004,0,2.117271296,-2,1.041392685
KMR DC006,Dung fresh,-1.301029996,1.301029996,0.322219295,-0.004364805,0.301029996,-0.958607315,1.949390007,0.602059991,-0.004364805,0.301029996,-0.004364805,2.437750563,-2.045757491,0.477121255
