ID,Context,Al,Ba,Ca,Co,Cr,Fe,Mn,Mo,Ni,Pb,Sc,Sr,Ti,V
SKP P001,Pit,0.079181246,1.698970004,0.725094521,1.041392685,1.51851394,0.257678575,2.71432976,-0.004364805,1.380211242,0.602059991,0.602059991,2.356025857,0.602059991,1.579783597
SKP P002,Pit,0.025305865,1.84509804,0.768638101,0.903089987,1.431363764,0.181843588,2.609594409,-0.004364805,1.301029996,0.477121255,0.602059991,2.767155866,0.602059991,1.633468456
SKP FP001,Fireplace,0.11058971,1.954242509,0.698970004,1.041392685,1.556302501,0.290034611,2.740362689,-0.004364805,1.397940009,0.698970004,0.698970004,2.404833717,0.698970004,1.62324929
SKP FP002,Fireplace,0.029383778,2.079181246,0.777426822,0.954242509,1.462397998,0.217483944,2.546542663,-0.004364805,1.322219295,0.954242509,0.602059991,2.79518459,0.602059991,1.591064607
SKP FP003,Fireplace,0.025305865,1.77815125,0.662757832,0.903089987,1.447158031,0.204119983,2.545307116,-0.004364805,1.301029996,0.602059991,0.602059991,2.665580991,0.602059991,1.662757832
SKP PL 001,Plaster,0.053078443,2,0.822821645,1,1.505149978,0.267171728,2.797267541,-0.004364805,1.361727836,0.903089987,0.698970004,2.252853031,0.698970004,1.69019608
SKP PL002,Plaster,0.303196057,1.84509804,0.678518379,1.204119983,1.740362689,0.457881897,2.794488047,0,1.602059991,0.84509804,0.84509804,2.278753601,0.84509804,1.806179974
SKP PL003,Plaster,0.195899652,1.84509804,0.698970004,0.903089987,1.447158031,0.240549248,2.58546073,-0.004364805,1.278753601,0.77815125,0.602059991,2.588831726,0.602059991,1.591064607
SKP S003,Floor,0.149219113,1.698970004,0.786751422,1.113943352,1.591064607,0.336459734,2.639486489,-0.004364805,1.462397998,0.903089987,0.698970004,2.5132176,0.698970004,1.755874856
SKP S012,Floor,0.017033339,1.84509804,0.700703717,0.903089987,1.431363764,0.206825876,2.514547753,-0.004364805,1.301029996,0.602059991,0.602059991,2.6599162,0.602059991,1.653212514
SKP S015,Floor,0.012837225,1.903089987,0.675778342,0.903089987,1.431363764,0.220108088,2.469822016,-0.004364805,1.278753601,0.602059991,0.602059991,2.812244697,0.602059991,1.51851394
SKP S018,Ash accumulation,0.1430148,2,0.705007959,1.079181246,1.579783597,0.315970345,2.766412847,-0.004364805,1.431363764,0.698970004,0.698970004,2.320146286,0.698970004,1.662757832
SKP S019,Ash accumulation,0.096910013,1.84509804,0.716003344,1.041392685,1.531478917,0.278753601,2.719331287,-0.004364805,1.380211242,0.77815125,0.602059991,2.383815366,0.602059991,1.591064607
SKP S020,Floor,0.025305865,1.84509804,0.720159303,1,1.477121255,0.225309282,2.723455672,-0.004364805,1.322219295,0.602059991,0.602059991,2.320146286,0.602059991,1.568201724
SKP S021,Ash accumulation,0.071882007,1.954242509,0.840106094,1.146128036,1.51851394,0.264817823,2.939519253,-0.004364805,1.380211242,0.77815125,0.698970004,2.225309282,0.698970004,1.698970004
SKP S022,Ash accumulation,0.164352856,2,0.697229343,1.113943352,1.612783857,0.348304863,2.825426118,-0.004364805,1.477121255,0.77815125,0.698970004,2.178976947,0.698970004,1.69019608
KMR DC001,Dung fresh,-1.096910013,1.698970004,0.423245874,-0.004364805,0.477121255,-0.744727495,2.170261715,0.602059991,0.301029996,0.477121255,-0.004364805,2.523746467,-0.004364805,0.602059991
KMR DC002,Dung fresh,-0.823908741,1.477121255,0.374748346,0.301029996,0.77815125,-0.397940009,2.033423755,0.301029996,0.301029996,0.698970004,0,2.383815366,0,0.84509804
KMR DC003,Dung fresh,-1.096910013,1.602059991,0.495544338,0,0.477121255,-0.638272164,2.053078443,0.77815125,0.477121255,0.301029996,-0.004364805,2.640481437,-0.004364805,0.602059991
KMR DC004,Dung fresh,-1.045757491,1.477121255,0.133538908,0,0.698970004,-0.698970004,2.012837225,0.301029996,0.301029996,0.602059991,-0.004364805,2.214843848,-0.004364805,0.602059991
KMR DC005,Dung fresh,-0.795880017,1.477121255,-0.026872146,0,0.84509804,-0.180456064,1.86332286,0,0.301029996,0.698970004,0,2.117271296,0,1.041392685
KMR DC006,Dung fresh,-1.301029996,1.301029996,0.322219295,-0.004364805,0.301029996,-0.958607315,1.949390007,0.602059991,-0.004364805,0.301029996,-0.004364805,2.437750563,-0.004364805,0.477121255
KMR DC007,Dung fresh,-1.22184875,1.602059991,0.50242712,0,0.301029996,-0.619788758,2.068185862,0.77815125,0.301029996,0.301029996,-0.004364805,2.649334859,-0.004364805,0.602059991
KMR DC008,Dung fresh,-0.744727495,1.698970004,0.330413773,0.301029996,0.84509804,-0.318758763,2.068185862,0.301029996,0.477121255,0.698970004,0,2.356025857,0,0.954242509
ALM DC001,Dung fresh,-0.37675071,1.698970004,-0.148741651,0.301029996,1,-0.15490196,2.146128036,0.301029996,0.84509804,0.84509804,0,1.886490725,0,1.041392685
ALM DC002,Dung fresh,-0.958607315,1.77815125,0.113943352,0,0.954242509,-0.721246399,2.103803721,0.477121255,0.477121255,0.602059991,-0.004364805,1.86332286,-0.004364805,0.698970004
NAG DC001,Dung fresh,-0.823908741,1.77815125,-0.055517328,0.301029996,1.113943352,-0.508638306,2.971739591,0.477121255,0.84509804,0.477121255,-0.004364805,2.120573931,-0.004364805,0.903089987
KMR DC001 ash,Dung ash,-0.022276395,2.113943352,1.025305865,0.301029996,1.079181246,-0.173925197,2.630427875,0.954242509,0.84509804,0.903089987,0,3.100370545,0,1.230448921
KMR DC002 ash,Dung ash,0,2.255272505,1,0.477121255,1.176091259,-0.102372909,2.660865478,1,1.041392685,1.255272505,0,3.115610512,0,1.301029996
KMR DC003 ash,Dung ash,0.130333768,2.230448921,0.968482949,0.602059991,1.397940009,0.40654018,2.609594409,1.255272505,1.301029996,0.903089987,0.602059991,3.158362492,0.602059991,1.977723605
KMR DC004 ash,Dung ash,0.152288344,2.204119983,0.896526217,0.698970004,1.278753601,0.008600172,2.7930916,1,1.146128036,0.903089987,0.301029996,3.031408464,0.301029996,1.431363764
KMR DC005 ash,Dung ash,0.053078443,2.278753601,0.912753304,0.84509804,1.146128036,0.214843848,2.815577748,1.204119983,1.278753601,1.041392685,0,3.141449773,0,1.462397998
KMR DC006 ash,Dung ash,0.012837225,2.278753601,1.209515015,0.602059991,1.113943352,-0.180456064,2.716003344,1.342422681,1.113943352,0.903089987,0,3.456366033,0,1.301029996
KMR DC007 ash,Dung ash,-0.102372909,2.380211242,1.278753601,0.698970004,1.041392685,-0.167491087,2.81756537,1.544068044,1.380211242,0.84509804,0,3.495544338,0,1.255272505
KMR DC008 ash,Dung ash,0.1430148,2.176091259,0.882524538,0.698970004,1.342422681,0.056904851,2.652246341,1.041392685,1.146128036,0.903089987,0.301029996,2.953759692,0.301029996,1.612783857
ALM DC001 ash,Dung ash,0.139879086,2.255272505,0.550228353,0.77815125,1.342422681,0.23299611,2.638489257,0.903089987,1.301029996,1.113943352,0.477121255,2.688419822,0.477121255,1.447158031
ALM DC002 ash,Dung ash,-0.214670165,2.230448921,0.639486489,0.301029996,1,-0.173925197,2.580924976,1.113943352,0.84509804,0.77815125,0,2.385606274,0,1.146128036
