site,Dry_thorn_scrubland,Hygrophile,Anthropogenic,Mountain_forest,Mangrove,Non-wood,Undetermined charcoal,Grass_leaf.stem,inflorescence,Woody morphotypes,Undetermined phytoliths
Harappa_floor,62,48,4,36,0,0,8,140,270,308,284
Harappa_ash,0,0,0,0,0,0,0,1,5,2,4
Harappa_fireplace,15,34,4,8,0,0,2,9,11,25,42
Harappa_street,0,0,0,0,0,0,0,1,2,0,2
Harappa_pit,39,26,8,6,0,0,12,0,0,0,0
Kanmer_ash,82,6,0,0,2,2,21,118,14,14,1
Kanmer_floor,81,33,8,0,0,0,14,122,3,13,0
Kanmer_occupation,82,10,2,0,6,0,33,0,0,0,0
Kanmer_plaster,0,0,0,0,0,0,0,124,3,4,1
Kanmer_fireplace,66,4,3,0,3,5,19,118,25,31,1
Shikarpur_pit,30,8,0,0,0,1,5,141,7,1,2
Shikarpur_plaster,0,0,0,0,0,0,0,95,5,3,0
Shikarpur_ash,0,0,0,0,0,0,0,119,4,23,1
Shikarpur_fireplace,33,16,0,0,0,0,17,160,10,32,0
Shikarpur_floor,32,2,0,0,6,0,10,95,14,2,1
Shikarpur_occupation,21,1,0,0,0,0,16,0,0,0,0
Alamgirpur_floor,2,0,0,0,0,23,5,141,6,14,0
Alamgirpur_ash,14,0,0,0,0,2,1,185,36,18,0
Alamgirpur_pit,5,0,0,0,0,20,3,155,6,14,4
