context	Ag	Al	As	B	Ba	Be	Bi	Ca	Cd	Co	Cr	Cu	Fe	Ga	Hg	K	La	Mg	Mn	Mo	Na	Ni	P	Pb	S	Sb	Sc	Sr	Th	Ti	Tl	U	V	W	Zn
pit	0.3750	0.5625	0.3125	0.1250	0.0625	0.0000	0.0000	0.6875	0.0000	0.5625	0.5625	0.3750	0.5000	0.0000	0.0000	0.2500	0.0000	0.6875	0.5000	0.0000	0.1250	0.5625	0.7500	0.1250	0.4375	0.0000	0.0625	0.4375	0.0000	0.0000	0.0000	0.0000	0.1250	0.0000	0.7500
pit	0.8750	0.1875	0.8125	0.7500	0.2500	0.0000	0.0000	0.7500	0.0000	0.0000	0.0625	0.9375	0.0000	0.0000	0.8125	0.3750	0.0000	0.5000	0.3750	0.0000	0.6250	0.1250	0.9375	0.0000	0.1875	0.0000	0.0625	0.8750	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	1.0000
fireplace	0.6875	0.6875	0.3125	0.4375	0.6875	0.0000	0.0000	0.3125	0.0000	0.5625	0.7500	0.6250	0.7500	0.8125	0.0000	0.3750	0.0000	0.8125	0.6875	0.0000	0.2500	0.7500	0.8750	0.4375	0.4375	0.0000	0.6250	0.5625	0.0000	0.7500	0.0000	0.0000	0.3750	0.0000	0.8750
fireplace	1.0000	0.3750	0.3125	0.7500	1.0000	0.0000	0.0000	0.8125	0.0000	0.3750	0.3750	1.0000	0.1875	0.0000	0.0000	0.3750	0.0000	0.3125	0.2500	0.0000	0.5625	0.3750	1.0000	1.0000	0.4375	0.0000	0.0625	0.9375	0.0000	0.0000	0.0000	0.0000	0.1875	0.0000	0.8750
fireplace	0.3750	0.1875	0.3125	0.9375	0.1875	0.0000	0.0000	0.0625	0.0000	0.0000	0.2500	0.8750	0.0625	0.0000	0.0000	0.8125	0.0000	0.4375	0.1875	0.0000	0.4375	0.1250	0.8125	0.1250	0.3125	0.0000	0.0625	0.8125	0.0000	0.0000	0.0000	0.0000	0.6250	0.0000	0.5000
plaster	0.0000	0.4375	1.0000	0.0000	0.8125	0.0000	0.0000	0.9375	0.0000	0.4375	0.5000	0.5625	0.6250	0.0000	0.0000	0.0625	0.8750	0.0625	0.8750	0.0000	0.0625	0.5000	0.1250	0.8750	0.0000	1.0000	0.6250	0.1875	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.1875
plaster	0.0000	1.0000	0.6250	0.4375	0.2500	1.0000	0.0000	0.1875	0.0000	1.0000	1.0000	0.6250	1.0000	0.8125	0.0000	1.0000	0.0000	0.6250	0.8125	1.0000	0.1875	1.0000	0.0625	0.8125	0.6875	0.0000	1.0000	0.2500	0.0000	0.7500	0.0000	0.0000	1.0000	0.0000	0.8125
plaster	0.7500	0.9375	0.1250	0.9375	0.2500	0.0000	0.0000	0.3125	0.0000	0.0000	0.2500	0.1250	0.4375	0.0000	0.0000	0.9375	0.0000	0.1250	0.3125	0.0000	0.9375	0.0000	0.3125	0.5625	0.8125	0.0000	0.0625	0.6875	0.0000	1.0000	0.0000	0.0000	0.1875	0.0000	0.1250
floor	0.0000	0.8125	0.0000	0.4375	0.0625	0.9375	0.0000	0.8750	0.0000	0.8125	0.8750	0.1250	0.8750	0.8125	0.0000	0.8750	0.0000	0.1875	0.4375	0.0000	0.8125	0.8750	0.1875	0.8750	0.7500	0.0000	0.6250	0.6250	0.0000	0.0000	0.0000	0.0000	0.9375	0.0000	0.2500
floor	0.7500	0.1250	0.3125	0.7500	0.2500	0.0000	0.0000	0.4375	0.0000	0.0000	0.0625	0.8125	0.1250	0.0000	0.0000	0.7500	0.0000	0.2500	0.1250	0.0000	0.8750	0.1250	0.5625	0.1250	0.3125	0.0000	0.0625	0.7500	0.0000	0.0000	0.0000	0.0000	0.5625	0.0000	0.3125
