sample,period,cave,elongate_cells,short_cells,silica_skeletons,pooideae,chloridoideae,panicoideae,inflorescence,leaf-culm,woody_taxa,palms,TOT,concentration,morphotype_n
EKH-C-8,Post-Neolithic,C,78,76,1,47,1,0,6,100,5,3,351,819798.7812,14
EKH-C-9,Post-Neolithic,C,84,70,0,44,0,0,22,112,4,14,244,1174835.698,9
EKH-C-10,Post-Neolithic,C,32,39,0,16,0,0,46,61,8,8,319,275039.4186,11
EKH-C-11,Post-Neolithic,C,12,34,0,9,0,0,97,51,9,2,261,4358.638333,10
EKH-C-12,Middle-Neolithic,C,1,1,0,0,0,0,42,28,0,0,157,542.2935072,2
EKH-C-13,Middle-Neolithic,C,4,2,0,0,0,0,57,18,2,0,154,1561.438077,2
EKH-C-13/2,Middle-Neolithic,C,2,11,0,3,0,0,26,6,7,0,71,2101.458333,4
EKH-B-2005,Middle-Neolithic,B,85,266,0,29,2,1,1,16,18,165,46,322565.4193,15
EKH-B-2006,Middle-Neolithic,B,2,24,0,3,0,0,0,1,2,5,2,37049.96965,8
EKH-B-2008,Middle-Neolithic,B,120,124,1,41,12,8,0,4,9,22,6,201985.4443,17
EKH-B-2009,Early-Neolithic-B,B,109,210,0,68,6,6,0,3,8,78,13,242435.7699,15
EKH-C-14,Early-Neolithic-A,C,147,114,14,62,8,0,0,3,4,29,26,1084783.236,13
EKH-C-15/2-3,Early-Neolithic-A,C,7,21,0,7,0,0,0,9,0,5,28,16880.99934,7
EKH-C-15/3,Early-Neolithic-A,C,8,11,2,2,0,0,2,8,0,3,19,2624.29763,8
EKH-C-17,Early-Neolithic-A,C,3,5,0,1,0,0,0,4,2,0,8,1661.110643,6
EKH-C-18,Early-Neolithic-A,C,2,11,0,0,0,2,1,1,0,6,,7694.056395,6
