sample,period,elongate_cells,short_cells,silica_skeletons,pooideae,chloridoideae,panicoideae,inflorescence,leaf-culm,woody_taxa,palms,TOT,concentration,morphotype_n
KTG_1.12,Historic,41,64,0,32,7,0,7,36,12,13,46,2416331.47,11
KTG_1.10,Middle-Neolithic,12,48,2,11,2,0,3,11,4,30,70,589063.48,11
KTG_1.8,Middle-Neolithic,11,46,0,11,0,0,1,9,23,12,66,838068.03,11
KTG_1.6,Early-Neolithic-B,8,52,0,0,0,0,0,10,37,15,66,505048.99,8
KTG_1.3,Early-Neolithic-B,7,28,0,5,0,2,1,9,20,1,124,445667.65,12
KTG_2.9,Early-Neolithic-B,18,44,0,10,0,0,2,16,8,26,196,495718.82,12
KTG_2.7,Early-Neolithic-A,3,39,0,0,0,0,0,6,12,27,8,33483.29,8
KTG_2.5,Early-Neolithic-A,1,5,0,0,0,0,0,2,2,3,49,59128.16,5
KTG_3.16,Early-Neolithic-A,8,97,0,6,0,0,0,10,1,90,69,1172297.69,6
KTG_2.2,Transition,12,183,0,5,0,0,0,12,0,178,4,946339.84,4
KTG_3.12,Epipaleolithic,12,375,36,7,0,0,0,11,4,364,303,1659625.05,9
KTG_3.10,Epipaleolithic,13,253,29,15,0,0,2,12,7,231,268,12408642.75,9
KTG_3.2,Paleolithic,0,4,0,0,0,0,0,0,0,4,389,5515.93,1
KTG_3.x,Epipaleolithic,13,286,46,9,0,0,0,12,8,269,344,7690415.17,11
KTG_3.xx,Epipaleolithic,8,335,39,24,2,0,0,8,2,307,109,20877386.39,9
