cat,Code,SAMPLE,AG,AL,AS,BA,BI,CA,CO,CR,CU,FE,K,MG,MN,NA,NI,P,PB,S,SR,V,ZN,PHOSPHATES,FATS,PROTEIC_RE,X,Y
1,In-2,In-2,0.6,0.73,5,40,0,2.95,6,20,15,1.21,0.28,0.54,217,0.21,17,970,5,0.13,175,27,46,5,2.5,10,13,-11.5
2,In-5,In-5,0.7,0.66,6,40,0,3.4,5,18,13,1.18,0.32,0.51,203,0.17,14,960,5,0.09,180,27,31,4.5,2,10,12.5,-12
3,In-9,In-9,1,0.74,5,50,0,4.3,6,21,15,1.3,0.31,0.57,235,0.21,16,1090,6,0.12,201,30,36,6,2.5,12,13.5,-12
4,In-10,In-10,0.4,0.85,6,40,0,5.7,6,21,13,1.36,0.21,0.55,223,0.16,17,660,5,0.07,194,34,28,3.5,1,10,13.5,-13
5,In-12,In-12,1,0.59,4,40,0,3.97,6,18,14,1.04,0.27,0.5,184,0.26,13,970,4,0.13,192,26,32,6,3,10,13.5,-11
6,In-13,In-13,1,0.75,5,40,2,4.5,6,18,17,1.27,0.27,0.53,212,0.24,17,990,6,0.13,220,29,33,4.5,1,11,14,-11.5
7,In-14,In-14,0.4,0.74,7,40,0,3.3,6,19,20,1.23,0.18,0.49,224,0.05,16,750,6,0.05,211,28,36,4,1,10,13.5,-10
8,In-17,In-17,0.6,0.93,5,50,0,3.2,7,22,18,1.43,0.33,0.56,262,0.09,19,890,6,0.07,212,30,41,3.5,3,10.5,14,-10.5
9,In-18,In-18,0.2,0.84,4,40,0,2.81,9,21,14,1.41,0.21,0.45,235,0.09,20,450,6,0.05,136,30,36,5.5,3,12,14,-13.5
10,In-21,In-21,0.7,0.8,5,50,0,5.07,6,19,14,1.27,0.27,0.6,227,0.27,16,1160,5,0.13,245,31,35,5,3,10,14,-12.5
11,In-22,In-22,0.4,0.73,4,30,0,1.02,6,18,11,1.26,0.22,0.36,216,0.15,16,510,5,0.05,79,24,25,6,1,11,14,-9.5
12,In-24,In-24,0.3,0.67,5,40,0,2.89,6,17,12,1.09,0.24,0.47,216,0.23,14,780,5,0.11,223,23,27,5.5,1,10,14.5,-10
13,In-27,In-27,1.2,0.65,4,40,0,3.4,5,17,12,1.07,0.22,0.46,189,0.17,13,830,5,0.09,180,24,31,5,1,10.5,14.5,-12
14,In-28,In-28,0,0.62,4,60,0,0.66,6,20,10,1.33,0.19,0.31,298,0.11,16,340,9,0.03,40,26,25,5.5,0.5,12,7.5,-10
15,In-30,In-30,0.4,0.58,3,40,0,2.89,5,18,11,1.05,0.29,0.41,196,0.17,13,1180,5,0.1,148,23,32,6,0.5,12,7.5,-11
16,In-31,In-31,0.6,0.73,4,50,0,2.5,6,23,15,1.4,0.34,0.46,227,0.15,18,1070,7,0.08,120,31,35,5.5,1,10,7.5,-12
17,In-33,In-33,0.8,0.48,3,40,0,2.88,4,16,11,0.92,0.32,0.38,211,0.24,12,1090,6,0.11,140,21,32,5.5,2,10,8.5,-9
18,In-35,In-35,0.3,0.77,4,50,0,3.96,5,24,9,1.3,0.18,0.38,203,0.11,17,320,6,0.03,122,30,22,5,0.5,11,8.5,-8
19,In-36,In-36,0.6,0.56,3,40,0,2.72,5,18,12,1.05,0.31,0.41,204,0.3,14,1340,4,0.11,133,23,35,6,2.5,10,8.5,-10
