ID,Culture,SUB_EC,REG,AREA,FM,PM,SB,FM_EXT,FM_INT,FM_RF,FM_IRR,PM_EXT,PM_INT,PM_RF,PM_IRR,SB_CAS,SB_EXT,SB_INT,SB_RF,SB_DEC,SB_IRR,LONG,LATI,FMcycle_m,FMcycle_v,PMcycle_m,PMcycle_v,SBcycle_m,SBcycle_v,ALT_m,ALT_v,SLO_m,SLO_v,INS_m,INS_v,GHI_m,GHI_v,AI_m,AI_v,PCI_m,PCI_v,BIO1_m,BIO1_v,BIO2_m,BIO2_v,BIO3_m,BIO3_v,BIO4_m,BIO4_v,BIO5_m,BIO5_v,BIO6_m,BIO6_v,BIO7_m,BIO7_v,BIO8_m,BIO8_v,BIO9_m,BIO9_v,BIO10_m,BIO10_v,BIO11_m,BIO11_v,BIO12_m,BIO12_v,BIO13_m,BIO13_v,BIO14_m,BIO14_v,BIO15_m,BIO15_v,BIO16_m,BIO16_v,BIO17_m,BIO17_v,BIO18_m,BIO18_v,BIO19_m,BIO19_v,SOC_m,SOC_v,BD1_m,BD1_v,BD2_m,BD2_v,CLAY1_m,CLAY1_v,CLAY2_m,CLAY2_v,SILT1_m,SILT1_v,SILT2_m,SILT2_v,SAND1_m,SAND1_v,SAND2_m,SAND2_v,GRAV1_m,GRAV1_v,GRAV2_m,GRAV2_v,CEC1_m,CEC1_v,CEC2_m,CEC2_v,ECE1_m,ECE1_v,ECE2_m,ECE2_v,PH1_m,PH1_v,PH2_m,PH2_v,OC1_m,OC1_v,OC2_m,OC2_v,TK1_m,TK1_v,TK2_m,TK2_v,TN1_m,TN1_v,TN2_m,TN2_v,TP1_m,TP1_v,TP2_m,TP2_V,TS1_m,TS1_v,TS2_m,TS2_v,WC11_m,WC11_v,WC12_m,WC12_v,WC21_m,WC21_v,WC22_m,WC22_v,WC31_m,WC31_v,WC32_m,WC32_v
1,Amhara ,Intensive agriculturalists,Eastern Africa,212765.49,1.0000000000000,1.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,38.5205782800000,11.0371347700000,134.7500000000000,467.6875000000000,134.7500000000000,467.6875000000000,194.7500000000000,467.6875000000000,1864.5507030000000,490853.4584000000000,5.4843062460000,26.9567774300000,11.4272889639059,0.3194666106355,5.9367397820000,0.0573746870000,0.5296934880000,0.0423356590000,0.1742903070000,0.0009306320000,19.4539698400000,17.8599721200000,14.6845265100000,1.0605038270000,76.0958956500000,8.6668379120000,134.9876954000000,1430.8704570000000,29.7842545900000,25.8939179000000,9.5753169650000,15.7345461800000,20.2089376300000,2.9275301500000,19.1301643400000,20.4054869000000,18.5752822800000,18.6197205100000,21.2667154400000,20.7772100600000,17.8632300200000,153.5269748000000,1027.2075590000000,98011.2449200000000,271.7347737000000,6895.0756510000000,7.7034200370000,28.1944832100000,102.1318457000000,337.0174072000000,651.5114626000000,49597.4352200000000,32.3247041700000,408.6412247000000,183.0428402000000,6309.3899360000000,345.7786585000000,129724.1942000000000,48.5575145500000,465.3470078000000,1.3178781650000,0.0016136450000,1.3771761460000,0.0016924930000,33.6606658100000,135.0064485000000,39.9692135900000,235.7712157000000,29.6334677800000,34.2676181000000,26.2800025900000,53.4075521300000,36.7058664100000,190.8923843000000,33.7507838200000,303.4476092000000,5.4057859030000,14.7868999300000,6.3018443530000,39.8178488600000,0.2219655430000,0.0044185540000,0.2111141210000,0.0073849460000,0.0022908770000,0.0000314000000,0.0034474980000,0.0001318290000,6.5885012780000,0.2650468970000,6.6144592690000,0.3289586710000,1.5758884570000,0.1312867490000,0.5873762780000,0.0968370410000,1.2847961970000,0.0710855240000,1.4419542010000,0.0382330620000,0.1405435560000,0.0010226230000,0.0622401660000,0.0008042930000,0.0603296540000,0.0002728570000,0.0415990150000,0.0001770830000,0.0224152560000,0.0031826840000,0.0716880740000,0.1239883470000,34.7088843700000,149.3899222000000,29.3410939900000,53.7267442400000,32.8915598300000,37.7563222100000,33.7653800600000,49.7008658100000,19.1575811000000,34.8684387500000,21.0034265600000,44.2359037200000
2,Azande ,Horticulturalists,Central Africa,205751.97,1.0000000000000,1.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,26.4814081800000,4.6061414850000,150.0000000000000,242.6900000000000,150.0000000000000,242.6900000000000,240.0000000000000,242.6900000000000,628.8632114000000,6045.1297260000000,0.7165603530000,0.2130157340000,11.9870720632743,0.0020051963271,5.5554110790000,0.0178632660000,0.9566050310000,0.0264399270000,0.1097153760000,0.0001011840000,24.8454184700000,0.2883288288000,11.8712422900000,0.4588592929000,72.4056599300000,20.2395539500000,76.2960958800000,409.8658296000000,33.2900616600000,1.1952926190000,17.7391884900000,0.4420590043000,15.5508731700000,2.0818314800000,24.0904193900000,0.1784865994000,25.1914616500000,0.3592804095000,25.8315809000000,0.5721711640000,23.8927302000000,2.1978773680000,1585.5578450000000,32365.0880200000000,227.6075982000000,338.1685944000000,19.3400932000000,158.8888699000000,55.0208208700000,111.4137146000000,621.3994424000000,1419.3412100000000,87.7095415400000,2423.4030460000000,267.4563620000000,9389.4386600000000,571.7028875000000,2958.1827100000000,49.4046661200000,68.7027561300000,1.2979753270000,0.0051348580000,1.3570683790000,0.0103944790000,35.3232375900000,135.8853955000000,42.9410581600000,154.7617387000000,17.1668668400000,47.4144876200000,15.1632840000000,32.8767028600000,47.5098955700000,109.1587925000000,41.8956578400000,111.0603492000000,3.7915436760000,21.6495600300000,4.0240986910000,23.9525856000000,0.0890882140000,0.0003713030000,0.0656814350000,0.0001939750000,0.0003943960000,0.0000003600000,0.0001473470000,0.0000000449000,5.2582526560000,0.0571559790000,4.9540744210000,0.0646898260000,1.5567990150000,0.1021453150000,0.6151537570000,0.0115593490000,0.5452938480000,0.0317426690000,0.6045766670000,0.0423111500000,0.1205216290000,0.0004501660000,0.0564443540000,0.0001309140000,0.0406361580000,0.0000259000000,0.0203034690000,0.0000295000000,0.0271101030000,0.0000239000000,0.0309101130000,0.0000357000000,35.8143924400000,78.8266895300000,34.2303361000000,27.4419005700000,31.5663782700000,21.2017293500000,32.9964904400000,26.7219172100000,20.1718624700000,25.7640905700000,23.3203061700000,30.6744357900000
3,Bagisu ,Horticulturalists,Eastern Africa,1743.01,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,34.2981509100000,1.0139475250000,134.7500000000000,1367.6875000000000,0.0000000000000,0.0000000000000,134.7500000000000,467.6875000000000,1540.1616710000000,283028.3087000000000,5.5921348060000,27.2979018900000,11.4884278581379,0.2326425257467,5.1591105580000,0.1929584830000,0.8626170520000,0.0595531620000,0.0958977610000,0.0000034900000,20.5606879600000,8.7571755340000,12.7611302200000,0.2565955755000,74.9626877000000,17.9216697300000,68.6649631400000,9.6843617860000,29.0856511100000,9.3543072820000,13.7339066300000,8.3342578380000,15.3517444700000,0.2042090989000,20.4240294800000,9.5854154170000,21.2742997500000,9.1017629680000,21.5264864900000,8.9734524970000,19.7212776400000,87.7209866200000,1452.6683050000000,51227.2788100000000,200.5739558000000,813.2092525000000,41.2147420100000,51.8107953500000,38.5459459500000,8.5272635470000,510.1739558000000,5455.6127920000000,166.5375921000000,647.1041663000000,221.1439803000000,838.6356017000000,418.8574939000000,7065.8017080000000,63.3784550800000,961.5130649000000,1.0575724820000,0.0365799450000,1.0606633910000,0.0502323520000,21.4987715000000,5.2471715480000,36.7783783800000,12.5147731800000,31.9823095800000,99.2091264200000,28.2825552800000,67.6462786200000,46.5189189200000,104.1075573000000,34.9390663400000,24.0359674200000,3.7788697790000,1.2706447400000,2.6329238330000,1.2648938560000,0.2436501560000,0.0134697520000,0.1986176890000,0.0092088710000,0.0012275180000,0.0000005510000,0.0007956260000,0.0000002540000,5.4494106090000,0.1277686940000,5.3596267190000,0.1430080180000,5.7179213760000,9.3168489220000,4.1436805900000,6.9216959350000,0.3890173410000,0.0423752990000,0.4513294800000,0.0316908490000,0.3298280100000,0.0276097540000,0.2253562650000,0.0176898800000,0.0415028900000,0.0000128000000,0.0215028900000,0.0000128000000,0.0428108110000,0.0001105810000,0.0343046680000,0.0000670000000,37.6329238300000,5.6542743870000,38.3601965600000,13.1774709500000,37.8049140000000,33.8503199900000,41.4560196600000,40.2776862100000,19.4565110600000,14.2305315800000,22.4122850100000,6.3623858770000
4,Bambara ,Agro-pastoralists,Western Africa,170178.18,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,-6.9648627460000,12.8744683100000,0.0000000000000,0.0000000000000,119.7500000000000,842.6875000000000,179.7500000000000,842.6875000000000,330.8490747000000,2874.3162720000000,0.5106045290000,0.3556287680000,11.9668499581739,0.0067480314784,5.8569875910000,0.0061843030000,0.3208276150000,0.0162063580000,0.2113243940000,0.0007571070000,27.2025902800000,0.1392373207000,14.4656665800000,0.6696549038000,68.1000145600000,4.3005051240000,244.6939304000000,1645.0068690000000,38.6964305800000,1.1764978590000,13.9258621000000,1.3791125010000,24.7705684800000,4.4451052570000,26.4210003700000,0.4216595448000,24.7981066100000,0.5308648247000,30.5457792700000,0.4851993007000,24.2296509400000,5.7558212520000,828.7996384000000,48054.4100800000000,248.3054510000000,1629.8214910000000,0.3501640490000,0.8751181950000,122.1163745000000,176.0234596000000,593.1844202000000,12858.3481900000000,2.1195164540000,15.7830250100000,108.9954468000000,1315.2515500000000,11.9141587100000,4368.4731720000000,19.6771916700000,10.5226900700000,1.3894288410000,0.0032049330000,1.4667858190000,0.0043789590000,18.2092259000000,51.7308549900000,26.4016245300000,106.7447016000000,27.3428552300000,113.5445889000000,22.3836074400000,108.9788773000000,54.4479188700000,238.0232425000000,51.2147680300000,296.0957490000000,8.2326357590000,33.4096708400000,9.7351003610000,110.8939377000000,0.1143715050000,0.0024777310000,0.0865418620000,0.0022398710000,0.0018001920000,0.0000006710000,0.0014259680000,0.0000027000000,6.4553335600000,0.2770595840000,6.1931289530000,0.5122267870000,1.3884022580000,0.1760529620000,0.3837815800000,0.0262711920000,1.3550678860000,0.1041000960000,1.4629519730000,0.0775280010000,0.1099373680000,0.0015863310000,0.0381864440000,0.0003057600000,0.0440092230000,0.0002925730000,0.0268160910000,0.0001604390000,0.0093691690000,0.0000721000000,0.0034150110000,0.0000354000000,20.8803230700000,46.4387140100000,22.1328409300000,42.6940941600000,22.6614043900000,26.9935276300000,23.8040680100000,35.1755606400000,10.5234072800000,15.5960137400000,12.5787462200000,20.8195775300000
5,Barundi,Horticulturalists,Central Africa,39622.66,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,30.1134241400000,-3.4517639740000,134.7500000000000,467.6875000000000,0.0000000000000,0.0000000000000,194.7500000000000,467.6875000000000,1443.6160960000000,140509.9760000000000,3.3996328310000,11.6447526700000,11.6624528382847,0.1742869460254,5.2616181910000,0.0561705900000,0.7776612600000,0.0448556120000,0.1201315820000,0.0000315000000,20.0492665000000,5.5047746000000,11.3233833900000,0.5110181091000,71.4045607200000,39.8546411400000,55.2133131700000,300.8535640000000,27.5528076100000,6.4219675840000,12.4811234700000,6.1777140610000,15.0716841300000,2.1785992830000,19.9705390500000,5.2618660240000,19.5552036300000,5.7482084350000,20.7136026800000,5.7619764010000,19.3843837100000,57.7697028200000,1159.5102950000000,39449.8334700000000,190.9943394000000,909.2119203000000,2.6564761800000,5.6215964750000,65.8780598500000,25.5733249000000,488.7362861000000,6558.0132900000000,24.6313060400000,151.3500397000000,195.4652911000000,11345.1578800000000,158.8073026000000,13910.6541000000000,69.5244762300000,968.2476416000000,1.2427827340000,0.0123025340000,1.2520231190000,0.0087389230000,39.0574528100000,106.9699330000000,45.6706497600000,80.0099663000000,19.5652393300000,51.4057953400000,17.2642829300000,21.6491666900000,41.3773078600000,118.9259206000000,37.0650673100000,78.6942729600000,13.3844865900000,230.6547813000000,8.5719364230000,66.8937757200000,0.1331986760000,0.0020000930000,0.1137489180000,0.0022139900000,0.0022998830000,0.0003952020000,0.0016004310000,0.0001944500000,5.4836482890000,0.3016476210000,5.1438400150000,0.3335173140000,2.6313229050000,2.2481148370000,1.8233646020000,3.4008528310000,0.5990499410000,0.2450245070000,0.6471271670000,0.2742661840000,0.1947647990000,0.0079388210000,0.1198392240000,0.0065783110000,0.0420262020000,0.0000497000000,0.0158737190000,0.0000815000000,0.0457486160000,0.0054309330000,0.1361476780000,0.2268906410000,37.3339453800000,6.4822028230000,36.8161349600000,7.7554696490000,30.2152674200000,11.9143307100000,30.9409417200000,9.4034157090000,17.5814545500000,6.8804349580000,20.0526364100000,7.1219311800000
6,Bemba ,Horticulturalists,Southern Africa,434203.97,1.0000000000000,1.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,29.1000155500000,-11.7262007900000,240.0000000000000,242.6900000000000,150.0000000000000,242.6900000000000,224.7500000000000,467.6875000000000,1193.8509070000000,51761.7785500000000,1.1560289320000,2.2509136740000,11.8462848417894,0.0230627053927,5.8438578040000,0.0174716850000,0.5841133690000,0.0076906540000,0.1795873540000,0.0002717580000,20.8903647700000,1.9331385190000,13.1342446400000,1.6080333140000,44.2938403400000,1.1541699980000,222.8058366000000,2871.2680670000000,31.3787298400000,2.1583280700000,8.6958084470000,6.5085035170000,22.6829214000000,8.3826396240000,22.0406577100000,1.6601135960000,17.6288465500000,3.5316113550000,23.1312175800000,2.0224448030000,17.5726552900000,33.7386760000000,1130.2210010000000,21021.1634300000000,251.0085309000000,903.9464668000000,0.0185195370000,0.0181962470000,106.4313406000000,89.0640338500000,708.0362630000000,9281.2539710000000,0.6306957500000,0.6245768220000,315.0970065000000,12970.1983200000000,3.6368315990000,35.9333886700000,39.1656261200000,41.3175326900000,1.2905312820000,0.0100104210000,1.3740983760000,0.0137779220000,26.6530926100000,61.2736373900000,35.4250217000000,94.6267570400000,22.2967471900000,46.5151625500000,19.2397269600000,40.7114494800000,51.0501602000000,106.5330785000000,45.3352513400000,108.7286133000000,3.6560586240000,2.8280977720000,3.0519482080000,7.2632129740000,0.1203293690000,0.0072373180000,0.0959234900000,0.0120601110000,0.0009205340000,0.0000007680000,0.0005725720000,0.0000009260000,5.5600353600000,0.2745003530000,5.3909383460000,0.3526998290000,2.2790303560000,13.6747133100000,1.3143793780000,15.4428946900000,0.5402206960000,0.2720914200000,0.5691380260000,0.2826537360000,0.1633289130000,0.0685765030000,0.1008210830000,0.0852547090000,0.0409761370000,0.0000962000000,0.0200117030000,0.0001020200000,0.0286110430000,0.0002561960000,0.0343812230000,0.0002838910000,33.2704971200000,43.1431184700000,31.4378125500000,30.9148281900000,28.6825967300000,19.2981693600000,30.1070444300000,24.3477156200000,15.1815447300000,15.8697928600000,17.0899463600000,16.3461217600000
7,Bena ,Horticulturalists,Eastern Africa,12470.40,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,34.9129928500000,-9.2419942600000,82.8800000000000,273.6256000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1589.4904180000000,140989.3851000000000,3.0101324630000,6.2590676220000,11.7189644205666,0.0358351243512,5.2751009590000,0.2076532600000,0.8830349050000,0.0330500550000,0.1661810910000,0.0001036620000,18.3018955700000,5.6869007880000,11.0672545500000,0.2285019960000,57.7391212900000,12.2989366200000,170.9549715000000,98.7855377400000,26.5644979900000,4.4876993140000,9.4141299820000,7.2103461250000,17.1503680000000,0.4051456878000,19.3700874900000,4.9096280600000,15.7857172600000,6.2547998080000,20.0554784100000,5.7573580140000,15.7364532700000,60.9131602200000,1279.5178450000000,53071.0547800000000,274.5444383000000,1902.5246900000000,2.8100263850000,3.0236950340000,99.0084710500000,33.5542647400000,735.3478684000000,10232.9771000000000,12.2587140700000,48.7645324200000,459.9066796000000,15315.9987900000000,12.3474517400000,47.9866225600000,64.3139130700000,624.6753059000000,1.3092778780000,0.0083523710000,1.3095375640000,0.0064187990000,26.8941119300000,7.5095841050000,37.9190390200000,6.3181445390000,18.3293292600000,17.6289835000000,14.2323288400000,22.9337287500000,54.7765588100000,35.9263802500000,47.8486321400000,19.5078567000000,3.3704346620000,1.9768579320000,3.4166088040000,4.7552494390000,0.1332651210000,0.0016152240000,0.1071099100000,0.0013607060000,0.0002654350000,0.0000000734000,0.0001287530000,0.0000000083700,6.0226164850000,0.0582224870000,5.6748073050000,0.0224180620000,1.8324836830000,0.5395749360000,0.8133474520000,0.1579164310000,1.4329300200000,0.0199873750000,1.5848816640000,0.0007899510000,0.1449958340000,0.0034719710000,0.0810519370000,0.0010117880000,0.0599828320000,0.0000001710000,0.0383175280000,0.0000140000000,0.0185710320000,0.0000122000000,0.0100000000000,0.0000000000000,32.5343007900000,11.9066422800000,31.3490487400000,10.1973704600000,29.3054436900000,15.3784704700000,30.8801555300000,14.0457710200000,16.9655603400000,6.2911546370000,20.0088876500000,5.4760684940000
8,Central Thai,Intensive agriculturalists,Southeast Asia,141977.59,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,100.4723803000000,13.3419609800000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,120.0000000000000,242.6900000000000,93.0540457300000,19319.0409500000000,1.3592482570000,6.4479185740000,11.8824847927451,0.0605684032566,4.9858634500000,0.0420342860000,0.8366740610000,0.1276314700000,0.1309497000000,0.0000922000000,27.2604726500000,0.7805729302000,9.8341926500000,0.9849633602000,54.4706515600000,0.8026298110000,148.7083262000000,1905.7994150000000,35.1625659100000,2.6157032580000,18.6702012400000,3.3007812290000,16.4923646700000,8.4451352770000,27.2842045100000,0.9416656391000,25.5751826000000,1.0956906510000,28.9930871500000,1.3196286130000,25.0760771900000,8.5979678430000,1603.5126589999900,323286.1276000000000,313.5093503000000,6815.3262010000000,12.7859553700000,188.4263068000000,74.7970115500000,67.4999553100000,774.7078324000000,64334.2207600000000,62.6278788300000,2562.0740200000000,335.6195533000000,12599.6837700000000,169.5451339000000,58979.7938300000000,57.1778244900000,1739.7306410000000,1.2663856660000,0.0091176480000,1.3530326010000,0.0073466820000,25.8865888300000,84.7392907200000,36.0743670800000,71.5638126100000,31.9969731800000,31.0997058200000,26.8742866900000,28.8042426000000,42.1164379900000,203.8756653000000,37.0513462300000,119.4809831000000,4.2369868270000,4.7135235000000,5.3017253450000,6.3606293690000,0.1405212310000,0.0046314100000,0.1142604030000,0.0039115510000,0.0009388020000,0.0000005570000,0.0006105410000,0.0000003120000,5.4213447910000,0.3442481480000,5.2836556970000,0.5298966230000,1.6854249420000,0.3234119010000,0.5476572330000,0.0485985720000,0.8791955490000,0.0458345040000,1.1277084280000,0.0345596580000,0.1287116240000,0.0014227090000,0.0476861000000,0.0004240460000,0.0539449790000,0.0001728030000,0.0298754480000,0.0000595000000,0.0099088780000,0.0000347000000,0.0050572490000,0.0000260000000,33.9796993600000,10.5721254500000,33.0438332800000,14.4747348900000,30.7177632000000,21.5467868100000,31.5394186300000,47.0467034500000,14.7025316800000,34.8014498200000,16.8575874400000,17.9757355400000
9,Dogon ,Intensive agriculturalists,Western Africa,73074.99,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,-3.1986924900000,14.4937094700000,0.0000000000000,0.0000000000000,104.7500000000000,467.6875000000000,120.0000000000000,242.6900000000000,309.3529277000000,6428.9904340000000,0.5360173210000,1.5324577180000,11.9770928395948,0.0218694004798,5.9857677570000,0.0018234780000,0.1595025310000,0.0022583790000,0.2371597540000,0.0001976830000,27.9982742200000,0.9125025809000,13.9829572800000,0.0640315473500,60.6802620700000,8.0925882090000,296.9376506000000,345.0437562000000,39.9810284600000,0.9220390418000,14.7804229900000,1.3408029250000,25.2006054700000,0.8279399070000,27.9796193100000,1.0780616120000,24.6436763600000,1.9522502380000,31.8361858700000,0.9945215636000,23.8675001500000,9.9078678100000,477.6035168000000,9310.0756980000000,159.0592543000000,665.9789529000000,0.0000000000000,0.0000000000000,133.8184301000000,34.4385586200000,373.6909058000000,3771.1289350000000,0.2134872200000,0.1882160430000,81.1599975800000,748.4951996000000,0.2209196930000,0.2001062070000,17.9561450100000,8.9428768390000,1.3829403940000,0.0096112370000,1.4438385860000,0.0131709940000,14.5961761600000,117.0946984000000,16.5360026100000,138.9977249000000,23.2244150600000,292.9733251000000,22.0578289700000,292.6062421000000,62.1794087800000,681.3954336000000,61.4061684200000,708.5255682000000,5.8530044470000,47.1649697600000,9.2440781200000,126.1482977000000,0.1130439350000,0.0078414710000,0.0952921730000,0.0070751270000,0.0018272240000,0.0000021500000,0.0015760240000,0.0000015400000,6.5116747040000,0.2153204210000,6.4371693070000,0.3208657730000,0.9949660400000,0.5210459070000,0.2590208350000,0.0445489050000,1.5398857790000,0.0842267310000,1.7164055250000,0.0093751520000,0.0866181230000,0.0033601750000,0.0254300010000,0.0004310760000,0.0376728170000,0.0004130960000,0.0267703550000,0.0002270760000,0.0062715390000,0.0000613000000,0.0020191190000,0.0000161000000,18.2505324300000,80.3156981200000,17.9414327200000,98.5323701200000,19.1070651600000,84.5607786700000,18.3381030600000,92.8746024300000,8.4228826260000,30.0928406500000,8.6419679980000,37.3788272400000
10,Fellahin ,Intensive agriculturalists,Northern Africa,945933.31,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,0.0000000000000,0.0000000000000,1.0000000000000,30.5683742200000,27.0536155200000,0.0000000000000,0.0000000000000,0.0000000000000,0.0000000000000,104.7500000000000,467.6875000000000,254.2124484000000,40774.5570300000000,0.8543330330000,2.2878374340000,11.9121011923600,0.0270290300600,6.2023514870000,0.0685682910000,0.0101350360000,0.0002631190000,0.3642103830000,0.0928030290000,21.8930655500000,5.5253974060000,14.6056347500000,4.8431907350000,57.2180450600000,2.7997363580000,573.4079001000000,3098.4224420000000,36.1349912800000,10.4848082300000,5.9732589730000,4.7785565600000,30.1617323100000,12.6333205900000,16.3504873700000,21.2642380900000,21.0568909800000,18.6806561800000,28.5041284400000,6.4365038940000,13.9552138300000,41.2754573900000,18.0435400800000,917.1110256000000,4.5706486670000,54.2999652300000,0.0001060060000,0.0001059950000,48.7151853100000,1524.8532930000000,11.2882660100000,369.1856597000000,0.0076762890000,0.0112684800000,0.1103832230000,0.1546901340000,10.6235244500000,357.4912675000000,14.1324453900000,7.2357852990000,1.3825520190000,0.0049175340000,1.4627046080000,0.0038383340000,17.1406573000000,46.3223709400000,18.0321180100000,54.9415581500000,27.9529674300000,100.1007001000000,26.3519462200000,115.2365717000000,54.9063752700000,266.4856723000000,55.6159357700000,290.2297977000000,9.4568498560000,25.3544184600000,8.5468838930000,99.1299896800000,0.1400519670000,0.0019207560000,0.1267913610000,0.0019806520000,0.0111189070000,0.0003933700000,0.0242402980000,0.0005927810000,7.6938429230000,0.2238665420000,7.7792682630000,0.2853418920000,0.9014806350000,0.2227052240000,0.2091765930000,0.0140116570000,1.9959997550000,0.1296114520000,1.7885019150000,0.0731984940000,0.0712855170000,0.0011254770000,0.0239894510000,0.0002259690000,0.0642583320000,0.0003911610000,0.0553640360000,0.0003412050000,0.1187039490000,0.0359756590000,0.1092848230000,0.4390431450000,20.4864187400000,31.3105807200000,21.3274844000000,41.0466210300000,21.7985686300000,31.8681425600000,21.4528054700000,31.8086451600000,9.9730902340000,8.5797068700000,9.9266728040000,8.7717331880000
