 ,REG,LONG,LATI,FM_cultiv,PM_cultiv,SB_cultiv,FM_ext,FM_int,FM_rf,FM_irr,PM_ext,PM_int,PM_rf,PM_irr,SB_cas,SB_ext,SB_int,SB_rf,SB_dec,SB_irr,FMcycle_m,FMcycle_v,PMcycle_m,PMcycle_v,SBcycle_m,SBcycle_v,ALT_m,ALT_v,SLO_m,SLO_v,INS_m,INS_v,GHI_m,GHI_v,AI_m,AI_v,PCI_m,PCI_v,BIO1_m,BIO1_v,BIO2_m,BIO2_v,BIO3_m,BIO3_v,BIO4_m,BIO4_v,BIO5_m,BIO5_v,BIO6_m,BIO6_v,BIO7_m,BIO7_v,BIO8_m,BIO8_v,BIO9_m,BIO9_v,BIO10_m,BIO10_v,BIO11_m,BIO11_v,BIO12_m,BIO12_v,BIO13_m,BIO13_v,BIO14_m,BIO14_v,BIO15_m,BIO15_v,BIO16_m,BIO16_v,BIO17_m,BIO17_v,BIO18_m,BIO18_v,BIO19_m,BIO19_v,SOC_m,SOC_v,BD1_m,BD1_v,BD2_m,BD2_v,CLAY1_m,CLAY1_v,CLAY2_m,CLAY2_v,SILT1_m,SILT1_v,SILT2_m,SILT2_v,SAND1_m,SAND1_v,SAND2_m,SAND2_v,GRAV1_m,GRAV1_v,GRAV2_m,GRAV2_v,CEC1_m,CEC1_v,CEC2_m,CEC2_v,ECE1_m,ECE1_v,ECE2_m,ECE2_v,PH1_m,PH1_v,PH2_m,PH2_v,OC1_m,OC1_v,OC2_m,OC2_v,TK1_m,TK1_v,TK2_m,TK2_v,TN1_m,TN1_v,TN2_m,TN2_v,TP1_m,TP1_v,TP2_m,TP2_v,TS1_m,TS1_v,TS2_m,TS2_v,WC11_m,WC11_v,WC12_m,WC12_v,WC21_m,WC21_v,WC22_m,WC22_v,WC31_m,WC31_v,WC32_m,WC32_v
"E1,""Tigray, Ethiopia"",39.402392,14.445672,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,149.75,242.6875,0,0,149.75,467.6875,1986.9308,217063.9378,7.6254,38.4911,11.7981,1.2681,6.1429,0.043,0.297,0.0009,0.1512,0.0011,18.8704,6.08,15.3678,0.2908,71.5143,1.7948,151.4249,54.6406,29.0801,5.9704,7.7241,7.4872,21.356,0.9137,19.0672,3.3434,17.7614,11.0152,20.8456,6.1162,16.8357,6.1328,636.6181,7542.0426,149.4535,640.0177,15.4173,92.0479,85.8641,598.4031,338.0321,2291.1189,60.1248,1403.0705,130.9474,229.5259,86.1246,5174.35,25.4918,93.9606,1.2657,0.0099,1.3126,0.0049,24.9032,115.7721,27.9299,162.8088,28.3133,62.7457,25.8152,51.9114,45.7614,262.9919,44.8503,313.1116,4.2269,7.0778,4.4255,5.9249,0.1698,0.0018,0.1253,0.0025,0.0014,0,0.0013,0,5.7908,0.6938,5.7299,0.8326,2.2385,0.9267,0.7884,0.0708,1.2387,0.1238,1.4768,0.0514,0.2278,0.005,0.0784,0.0018,0.0542,0.0003,0.0375,0.0002,0.0145,0.0006,0.027,0.0246,30.0532,90.4714,29.2564,74.0757,33.4796,99.4227,31.9163,82.3039,16.3397,43.1719,17.8721,45.5893"
"E2,""Tigray, Ethiopia"",39.403956,14.436215,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,134.75,467.6875,0,0,134.75,467.6875,1991.1572,216673.0749,7.6156,38.5855,11.7981,1.2681,6.1433,0.0428,0.2971,0.0009,0.1516,0.0011,18.8475,6.0878,15.3736,0.2861,71.4831,1.7794,151.5086,53.8859,29.0637,5.9744,7.6905,7.4887,21.3732,0.9044,19.0495,3.3427,17.7347,11.0355,20.8243,6.1228,16.8126,6.1483,636.5532,7476.7794,149.788,644.7608,15.3048,91.1579,86.1457,597.312,338.7662,2309.5377,59.6685,1395.1409,131.0433,230.7156,85.4976,5160.3382,25.6793,93.0852,1.2646,0.0099,1.3118,0.0049,24.9568,115.5995,28.0018,163.2015,28.3293,62.5729,25.8048,51.7108,45.6867,262.2247,44.785,312.0806,4.2193,6.923,4.4482,5.8883,0.1698,0.0018,0.125,0.0025,0.0014,0,0.0013,0,5.7815,0.6823,5.7192,0.82,2.2457,0.9207,0.7904,0.0708,1.2342,0.1243,1.4735,0.0538,0.228,0.005,0.0781,0.0018,0.0544,0.0003,0.0376,0.0002,0.0145,0.0006,0.0265,0.0239,30.0953,89.8829,29.2984,73.704,33.5257,98.7592,32.0054,82.1817,16.3707,42.8701,17.9143,45.2608"
"E3,""Tigray, Ethiopia"",39.403821,14.435644,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,149.75,242.6875,0,0,0,0,1991.2596,216631.6554,7.6103,38.5811,11.7981,1.2681,6.1434,0.0428,0.2971,0.0009,0.1516,0.0011,18.8467,6.0885,15.3746,0.2855,71.4807,1.7787,151.5196,53.7824,29.0637,5.975,7.6885,7.49,21.3753,0.9026,19.0493,3.3432,17.7328,11.0318,20.8238,6.1237,16.8118,6.15,636.5818,7461.7945,149.8197,644.8859,15.3038,91.1257,86.1612,596.8012,338.8412,2309.7951,59.6496,1393.9544,131.0539,230.8894,85.449,5155.0811,25.6883,93.0398,1.2646,0.0099,1.3117,0.0049,24.966,115.5722,28.0138,163.2158,28.3343,62.5304,25.8081,51.6898,45.6725,262.04,44.7689,311.892,4.2204,6.9233,4.4483,5.8907,0.1698,0.0018,0.125,0.0025,0.0014,0,0.0013,0,5.7812,0.6826,5.7189,0.8203,2.246,0.9207,0.7904,0.0708,1.2339,0.1245,1.4731,0.054,0.2281,0.005,0.0781,0.0018,0.0544,0.0003,0.0376,0.0002,0.0145,0.0006,0.0265,0.0239,30.1012,89.8388,29.3041,73.6649,33.5291,98.7394,32.0121,82.161,16.3737,42.8566,17.9186,45.2462"
"E5,""Tigray, Ethiopia"",39.41255,14.440273,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,149.75,242.6875,0,0,149.75,467.6875,1984.6784,224578.6126,7.729,39.1453,11.7981,1.2681,6.1368,0.0448,0.2974,0.0009,0.1506,0.0011,18.8782,6.291,15.3521,0.2996,71.4929,1.7866,151.5709,56.7483,29.0793,6.1124,7.7392,7.8148,21.3401,0.9183,19.0642,3.3983,17.7997,11.573,20.8515,6.3117,16.8384,6.3182,636.9057,7704.7125,148.7857,659.8364,15.3503,90.4909,85.4389,607.2887,336.8753,2314.9291,60.2955,1404.707,130.8392,240.6024,87.4454,5331.5457,25.6094,93.1919,1.2642,0.0099,1.3118,0.0049,24.8657,115.0948,27.8803,162.8033,28.4078,63.5168,25.8696,52.3885,45.7109,261.0988,44.8425,310.3717,4.2373,6.9258,4.5191,6.0841,0.1697,0.0018,0.1247,0.0024,0.0014,0,0.0014,0,5.7821,0.6793,5.7195,0.8177,2.2449,0.9142,0.7892,0.0709,1.235,0.1222,1.4748,0.0531,0.2275,0.005,0.0775,0.0018,0.0545,0.0003,0.0376,0.0002,0.0152,0.0008,0.0307,0.029,30.1011,89.2379,29.3214,73.6187,33.4913,97.622,31.9934,81.5379,16.3334,42.4963,17.8755,44.8888"
"E7,""Tigray, Ethiopia"",39.415802,14.441764,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,179.75,842.6875,0,0,179.75,842.6875,1981.8678,228105.6949,7.7764,39.4077,11.7981,1.2681,6.1343,0.0456,0.2975,0.0009,0.1503,0.0011,18.8921,6.3861,15.3434,0.3059,71.4944,1.7934,151.6114,58.3869,29.0876,6.1839,7.7603,7.9641,21.3273,0.9247,19.0715,3.4273,17.8272,11.8065,20.8642,6.4019,16.8502,6.398,636.9084,7788.8336,148.3792,666.5854,15.3633,90.1161,85.168,610.1335,336.1025,2320.8164,60.5161,1405.904,130.7396,246.5901,88.1648,5386.651,25.5878,93.0897,1.2639,0.0099,1.3117,0.0049,24.8447,114.8863,27.8478,162.632,28.4445,63.8161,25.8994,52.5994,45.6998,260.4972,44.8446,309.4972,4.2431,6.9154,4.5485,6.1514,0.1697,0.0018,0.1245,0.0024,0.0015,0,0.0015,0,5.7812,0.6773,5.7183,0.8158,2.2462,0.9109,0.7891,0.0709,1.2346,0.1212,1.4748,0.0528,0.2273,0.005,0.0773,0.0017,0.0545,0.0003,0.0376,0.0002,0.0155,0.0008,0.0326,0.0312,30.1186,88.97,29.343,73.5564,33.4964,97.1279,32.0044,81.231,16.3308,42.3335,17.8719,44.7306"
"E6,""Tigray, Ethiopia"",39.414012,14.440398,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,134.75,467.6875,0,0,134.75,467.6875,1983.8917,225729.6784,7.7493,39.2636,11.7981,1.2681,6.1358,0.0451,0.2975,0.0009,0.1505,0.0011,18.8818,6.322,15.3486,0.3017,71.4933,1.7861,151.5861,57.1321,29.0806,6.1335,7.7455,7.866,21.335,0.9207,19.0656,3.4053,17.8089,11.6586,20.8546,6.3399,16.8411,6.3447,636.9393,7732.573,148.6236,661.4213,15.3521,90.2507,85.3303,608.2411,336.5767,2311.1485,60.3796,1404.5846,130.81,242.7639,87.7439,5358.1525,25.6125,92.9991,1.2641,0.0099,1.3118,0.0049,24.8554,115.0331,27.8666,162.8326,28.4218,63.6696,25.8783,52.4855,45.7087,260.8779,44.8467,310.0496,4.2385,6.9098,4.5336,6.1155,0.1696,0.0018,0.1246,0.0024,0.0014,0,0.0014,0,5.7812,0.6776,5.7183,0.816,2.2454,0.9122,0.7891,0.0708,1.2346,0.1218,1.4746,0.0532,0.2274,0.005,0.0774,0.0018,0.0545,0.0003,0.0376,0.0002,0.0153,0.0008,0.0314,0.0298,30.107,89.0996,29.3303,73.5939,33.4898,97.3574,31.9988,81.4007,16.3302,42.4063,17.8733,44.8011"
"E9,""Tigray, Ethiopia"",39.421507,14.412847,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,134.75,467.6875,0,0,0,0,1995.3902,226669.0774,7.7463,39.6881,11.7981,1.2681,6.1346,0.0452,0.2979,0.0009,0.1514,0.0011,18.8175,6.4219,15.3582,0.2904,71.4021,1.7301,151.8519,55.8294,29.0302,6.2003,7.6553,7.9739,21.3749,0.8938,19.0169,3.4425,17.7412,11.8877,20.7944,6.4349,16.7749,6.4564,636.7901,7610.008,149.2982,680.8271,15.0588,88.0146,85.9284,610.1474,337.9924,2386.3661,59.259,1389.1158,131.0539,248.3022,86.3842,5337.2949,26.1801,90.2003,1.2606,0.0098,1.3092,0.005,24.9937,114.4736,28.0529,164.2248,28.4898,63.4186,25.8619,52.1811,45.4883,258.2075,44.6628,306.503,4.2217,6.4543,4.6276,6.0269,0.1696,0.0018,0.1236,0.0023,0.0014,0,0.0015,0,5.7533,0.6413,5.6863,0.7763,2.2662,0.8902,0.7943,0.0708,1.2204,0.1227,1.4641,0.0608,0.2277,0.0051,0.0763,0.0016,0.055,0.0003,0.0378,0.0002,0.0156,0.0008,0.0323,0.0308,30.2347,87.0285,29.461,72.3401,33.6171,94.8465,32.2715,80.671,16.4126,41.3298,17.9899,43.6728"
"E10,""Tigray, Ethiopia"",39.422282,14.412037,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,164.75,467.6875,0,0,164.75,467.6875,1995.156,227456.1615,7.7476,39.7148,11.7981,1.2681,6.1343,0.0454,0.298,0.0009,0.1514,0.0011,18.8181,6.449,15.3571,0.2911,71.3993,1.7284,151.8714,56.0137,29.0304,6.2211,7.6561,8.0125,21.3742,0.8933,19.016,3.4497,17.7443,11.9535,20.7948,6.4606,16.7749,6.481,636.7791,7617.9065,149.2517,682.7792,15.0481,87.8576,85.9087,610.5332,337.9309,2386.7062,59.2425,1387.7761,131.0419,249.5997,86.4551,5348.9032,26.1949,90.071,1.2605,0.0098,1.3092,0.005,24.9909,114.4447,28.0521,164.3569,28.4974,63.4893,25.8652,52.2637,45.4836,257.9908,44.6585,306.2751,4.2241,6.4543,4.6353,6.0448,0.1696,0.0018,0.1235,0.0023,0.0015,0,0.0015,0,5.7531,0.6414,5.6861,0.7764,2.2656,0.8891,0.7939,0.0708,1.2201,0.1228,1.4637,0.0612,0.2276,0.0051,0.0762,0.0016,0.055,0.0003,0.0378,0.0002,0.0157,0.0008,0.0329,0.0315,30.2347,86.8944,29.4638,72.2804,33.6077,94.6757,32.2746,80.5926,16.4065,41.2624,17.9866,43.611"
"E11,""Tigray, Ethiopia"",39.429919,14.414451,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,209.75,242.6875,0,0,194.75,467.6875,1988.7625,236351.9275,7.8451,40.1601,11.7981,1.2681,6.1284,0.047,0.2982,0.001,0.1506,0.0011,18.8496,6.6912,15.3379,0.305,71.3994,1.7411,151.9803,59.5444,29.0505,6.4063,7.7035,8.3821,21.3471,0.9083,19.0308,3.5244,17.8072,12.5367,20.8239,6.6924,16.8018,6.6899,636.8421,7824.0921,148.3554,700.4268,15.0632,86.9258,85.3225,617.986,336.2949,2405.2681,59.6878,1390.3968,130.8099,261.2124,88.0937,5494.0847,26.1671,90.279,1.26,0.0098,1.3091,0.005,24.9283,113.9522,27.9658,164.037,28.5745,64.2014,25.9288,52.841,45.4786,256.6862,44.6805,304.4253,4.2425,6.461,4.6997,6.1821,0.1695,0.0018,0.1232,0.0023,0.0015,0,0.0016,0,5.7532,0.6392,5.6858,0.7749,2.2657,0.883,0.7931,0.0709,1.2198,0.121,1.4639,0.061,0.2271,0.0052,0.0756,0.0016,0.0551,0.0003,0.0378,0.0002,0.0164,0.0009,0.0372,0.0366,30.2514,86.2057,29.493,72.0744,33.5905,93.5985,32.2824,79.9704,16.3831,40.896,17.9622,43.256"
"E12,""Tigray, Ethiopia"",39.432873,14.411326,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,164.75,467.6875,0,0,179.75,842.6875,1988.6198,239175.7818,7.8629,40.2658,11.7981,1.2681,6.127,0.0475,0.2983,0.001,0.1505,0.0011,18.8496,6.7818,15.3345,0.3071,71.387,1.7321,152.0494,60.1464,29.0496,6.4768,7.7039,8.5077,21.3458,0.9075,19.0288,3.5563,17.8144,12.7409,20.8238,6.7797,16.8001,6.7728,636.8074,7843.5214,148.2214,707.8513,15.0247,86.3813,85.2621,619.7304,336.1017,2418.9356,59.6292,1387.3019,130.7752,265.7411,88.3036,5526.0924,26.2297,90.0374,1.2595,0.0098,1.3088,0.005,24.9314,113.6551,27.9692,163.9621,28.6103,64.3202,25.9516,52.9418,45.4414,255.7935,44.6531,303.2511,4.2491,6.4207,4.7267,6.2088,0.1695,0.0018,0.1231,0.0023,0.0015,0,0.0016,0,5.7506,0.6356,5.6826,0.7713,2.2682,0.8797,0.7936,0.071,1.2183,0.1207,1.4628,0.0617,0.2271,0.0052,0.0754,0.0015,0.0552,0.0003,0.0378,0.0002,0.0167,0.001,0.0384,0.038,30.2724,85.7245,29.518,71.819,33.6011,93.0543,32.3176,79.7196,16.387,40.6759,17.9697,43.0216"
