step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-50B1	28	1	0	0	0	6	1	0	4	0	0	0	1	0	2	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0		
1-100B1	46	1	0	0	0	7	1	0	9	0	3	1	2	1	2	1	9	4	0	0	0	0	0	0	0	0	0	1	0	0	7	0		
1-150B1	67	3	0	0	0	11	1	0	12	1	4	1	3	1	2	2	14	5	0	0	0	0	0	0	0	0	0	2	0	0	10	0		
1-200B1	90	5	0	0	0	12	1	2	16	1	10	1	5	2	3	3	15	5	0	0	0	0	0	0	0	0	0	2	0	0	11	0		
1-250B1	111	12	0	0	0	13	1	2	21	1	10	1	6	4	3	3	18	5	1	0	0	3	0	0	0	0	0	3	0	0	11	0		
1-300B1	142	12	2	0	0	15	1	3	21	1	12	2	7	7	3	3	20	5	1	0	0	3	0	0	0	0	0	4	0	0	11	0		
1-350B1	174	13	2	0	0	16	1	3	25	2	12	2	7	9	3	3	22	7	1	0	0	3	0	0	0	0	0	5	0	0	11	0		
1-400B1	195	13	2	0	0	21	1	3	30	3	17	3	8	9	3	3	31	7	1	0	0	3	0	0	0	0	0	5	0	0	11	0		
1-50B13	19	1	0	0	0	0	0	0	10	0	0	0	3	4	0	0	3	0	0	0	3	0	0	0	0	0	0	1	0	0	4	0		
1-100B13	36	1	1	0	0	0	0	0	16	1	0	0	4	7	0	0	9	1	0	0	3	1	0	0	0	0	0	1	0	0	7	0		
1-150B13	53	1	2	0	0	0	0	0	20	2	1	1	5	11	1	0	17	1	0	0	3	1	0	0	0	0	0	1	0	0	10	0		
1-200B13	72	1	2	0	0	1	0	0	27	3	5	1	6	16	1	0	24	2	0	0	3	1	0	0	0	0	0	1	0	0	10	0		
1-250B13	94	1	2	0	0	3	0	0	30	4	8	1	8	17	1	0	32	4	0	0	3	1	0	0	0	0	0	1	0	0	10	0		
1-300B13	119	1	2	0	0	3	0	0	34	4	12	1	10	19	1	0	39	4	0	0	3	1	0	0	0	0	0	1	0	0	14	0		
1-350B13	138	2	2	0	0	3	0	0	38	6	16	1	12	20	1	0	48	7	0	0	3	1	0	0	0	0	0	1	0	0	14	0		
